model,project,criterion,runs,mean_pairwise_jaccard,min_pairwise_jaccard,unanimous_unit_rate,flip_unit_rate,fleiss_kappa_across_runs
DeepSeek-V4-Pro,BADCamp,Atomic,5,0.5666666666666667,0.3333333333333333,0.967741935483871,0.032258064516129004,0.6899999999999985
DeepSeek-V4-Pro,BADCamp,Complete,5,0.61875,0.1875,0.8059701492537313,0.19402985074626866,0.7172077922077922
DeepSeek-V4-Pro,BADCamp,Conceptually sound,5,0.4173809523809524,0.2,0.78125,0.21875,0.4762960616619153
DeepSeek-V4-Pro,BADCamp,Conflict-free,5,0.6,0.0,0.9420289855072463,0.05797101449275366,0.7378419452887554
DeepSeek-V4-Pro,BADCamp,Estimatable,5,0.5666666666666667,0.25,0.9090909090909091,0.09090909090909094,0.6966911764705885
DeepSeek-V4-Pro,BADCamp,Full sentence,5,0.7030952380952381,0.5,0.9230769230769231,0.07692307692307687,0.7864867596523145
DeepSeek-V4-Pro,BADCamp,Independent,5,0.7733428165007112,0.6756756756756757,0.7288135593220338,0.27118644067796616,0.720023148148148
DeepSeek-V4-Pro,BADCamp,Minimal,5,0.8238095238095238,0.7142857142857143,0.9629629629629629,0.03703703703703709,0.8874999999999998
DeepSeek-V4-Pro,BADCamp,Problem-oriented,5,0.8722170622635019,0.75,0.9074074074074074,0.09259259259259256,0.897623862487361
DeepSeek-V4-Pro,BADCamp,Unambiguous,5,0.7442307692307693,0.5714285714285714,0.8297872340425532,0.17021276595744683,0.8031243839936921
DeepSeek-V4-Pro,BADCamp,Uniform,5,1.0,1.0,1.0,0.0,
DeepSeek-V4-Pro,BADCamp,Unique,5,0.65,0.3333333333333333,0.9402985074626866,0.05970149253731338,0.7755894962486602
DeepSeek-V4-Pro,BADCamp,Well-formed,5,1.0,1.0,1.0,0.0,
DeepSeek-V4-Pro,PlanningPoker,Atomic,5,1.0,1.0,1.0,0.0,
DeepSeek-V4-Pro,PlanningPoker,Complete,5,0.4790947940947941,0.07692307692307693,0.7692307692307693,0.23076923076923073,0.5968992248062016
DeepSeek-V4-Pro,PlanningPoker,Conceptually sound,5,0.2413095238095238,0.0,0.75,0.25,0.29191489361702155
DeepSeek-V4-Pro,PlanningPoker,Conflict-free,5,1.0,1.0,1.0,0.0,
DeepSeek-V4-Pro,PlanningPoker,Estimatable,5,0.7194444444444444,0.5,0.8863636363636364,0.11363636363636365,0.8050509525919362
DeepSeek-V4-Pro,PlanningPoker,Full sentence,5,1.0,1.0,1.0,0.0,
DeepSeek-V4-Pro,PlanningPoker,Independent,5,0.8047619047619048,0.5862068965517241,0.7045454545454546,0.2954545454545454,0.7358264002058494
DeepSeek-V4-Pro,PlanningPoker,Minimal,5,1.0,1.0,1.0,0.0,
DeepSeek-V4-Pro,PlanningPoker,Problem-oriented,5,0.9216666666666666,0.8095238095238095,0.9183673469387755,0.08163265306122447,0.9319727891156462
DeepSeek-V4-Pro,PlanningPoker,Unambiguous,5,0.7460683760683761,0.5384615384615384,0.8695652173913043,0.13043478260869568,0.8097826086956521
DeepSeek-V4-Pro,PlanningPoker,Uniform,5,0.6,0.0,0.9811320754716981,0.018867924528301883,-0.0037878787878641335
DeepSeek-V4-Pro,PlanningPoker,Unique,5,1.0,1.0,1.0,0.0,1.0
DeepSeek-V4-Pro,PlanningPoker,Well-formed,5,1.0,1.0,1.0,0.0,1.0
DeepSeek-V4-Pro,Zooniverse,Atomic,5,0.7,0.5,0.9387755102040817,0.061224489795918324,0.7656250000000002
DeepSeek-V4-Pro,Zooniverse,Complete,5,0.4365844944712869,0.25,0.1864406779661017,0.8135593220338984,0.12251347834169928
DeepSeek-V4-Pro,Zooniverse,Conceptually sound,5,0.34679027113237637,0.0,0.05,0.95,-0.10400000000000018
DeepSeek-V4-Pro,Zooniverse,Conflict-free,5,1.0,1.0,1.0,0.0,
DeepSeek-V4-Pro,Zooniverse,Estimatable,5,0.86132110579479,0.8,0.8536585365853658,0.14634146341463417,0.862231182795699
DeepSeek-V4-Pro,Zooniverse,Full sentence,5,1.0,1.0,1.0,0.0,
