story_id,project,user_story,qus_dimension,qus_criterion,decision,evidence,rationale,context_used,related_story_ids,notes
PP-001,PlanningPoker,"As a moderator, I want to create a new game by entering a name and an optional description, so that I can start inviting estimators.",Syntactic,Well-formed,No Violation,,,Story only,,
PP-001,PlanningPoker,"As a moderator, I want to create a new game by entering a name and an optional description, so that I can start inviting estimators.",Syntactic,Atomic,No Violation,,,Story only,,
PP-001,PlanningPoker,"As a moderator, I want to create a new game by entering a name and an optional description, so that I can start inviting estimators.",Syntactic,Minimal,Violation,create a new game by entering a name and an optional description,"The story incorporates solution, interface, technology, format, field, or constraint details that exceed the minimal description of the stakeholder need.",Story only,,
PP-001,PlanningPoker,"As a moderator, I want to create a new game by entering a name and an optional description, so that I can start inviting estimators.",Semantic,Conceptually sound,No Violation,,,Story only,,
PP-001,PlanningPoker,"As a moderator, I want to create a new game by entering a name and an optional description, so that I can start inviting estimators.",Semantic,Problem-oriented,Violation,create a new game by entering a name and an optional description,"The story prescribes a mechanism, technology, format, interface element, or concrete solution instead of remaining at the level of the stakeholder need.",Story only,,
PP-001,PlanningPoker,"As a moderator, I want to create a new game by entering a name and an optional description, so that I can start inviting estimators.",Semantic,Unambiguous,No Violation,,,Story only,,
PP-001,PlanningPoker,"As a moderator, I want to create a new game by entering a name and an optional description, so that I can start inviting estimators.",Semantic,Conflict-free,No Violation,,,Story + Backlog,,No explicit conflict was identified in the available backlog.
PP-001,PlanningPoker,"As a moderator, I want to create a new game by entering a name and an optional description, so that I can start inviting estimators.",Pragmatic,Full sentence,No Violation,,,Story only,,
PP-001,PlanningPoker,"As a moderator, I want to create a new game by entering a name and an optional description, so that I can start inviting estimators.",Pragmatic,Estimatable,No Violation,,,Story + Backlog,,The backlog and the story itself provide sufficient scope for a preliminary estimate.
PP-001,PlanningPoker,"As a moderator, I want to create a new game by entering a name and an optional description, so that I can start inviting estimators.",Pragmatic,Unique,No Violation,,,Story + Backlog,,No substantial duplication was identified in the backlog.
PP-001,PlanningPoker,"As a moderator, I want to create a new game by entering a name and an optional description, so that I can start inviting estimators.",Pragmatic,Uniform,No Violation,,,Story + Backlog,,
PP-001,PlanningPoker,"As a moderator, I want to create a new game by entering a name and an optional description, so that I can start inviting estimators.",Pragmatic,Independent,No Violation,,,Story + Backlog,,No evident unnecessary dependency was identified.
PP-001,PlanningPoker,"As a moderator, I want to create a new game by entering a name and an optional description, so that I can start inviting estimators.",Pragmatic,Complete,No Violation,,,Story + Backlog,,No evident complementary omission was identified in the available backlog.
PP-002,PlanningPoker,"As a moderator, I want to invite estimators by giving them a URL where they can access the game, so that we can start the game.",Syntactic,Well-formed,No Violation,,,Story only,,
PP-002,PlanningPoker,"As a moderator, I want to invite estimators by giving them a URL where they can access the game, so that we can start the game.",Syntactic,Atomic,No Violation,,,Story only,,
PP-002,PlanningPoker,"As a moderator, I want to invite estimators by giving them a URL where they can access the game, so that we can start the game.",Syntactic,Minimal,Violation,invite estimators by giving them a URL where they can access the game,"The story embeds additional implementation, interface, field, constraint, or workflow detail beyond the minimal role–means–optional end structure.",Story only,,Revisar durante a calibração do critério Minimal.
PP-002,PlanningPoker,"As a moderator, I want to invite estimators by giving them a URL where they can access the game, so that we can start the game.",Semantic,Conceptually sound,No Violation,,,Story only,,
PP-002,PlanningPoker,"As a moderator, I want to invite estimators by giving them a URL where they can access the game, so that we can start the game.",Semantic,Problem-oriented,Violation,invite estimators by giving them a URL where they can access the game,"The story prescribes a mechanism, technology, format, interface element, or concrete solution instead of remaining at the level of the stakeholder need.",Story only,,
PP-002,PlanningPoker,"As a moderator, I want to invite estimators by giving them a URL where they can access the game, so that we can start the game.",Semantic,Unambiguous,No Violation,,,Story only,,
PP-002,PlanningPoker,"As a moderator, I want to invite estimators by giving them a URL where they can access the game, so that we can start the game.",Semantic,Conflict-free,No Violation,,,Story + Backlog,,No explicit conflict was identified in the available backlog.
PP-002,PlanningPoker,"As a moderator, I want to invite estimators by giving them a URL where they can access the game, so that we can start the game.",Pragmatic,Full sentence,No Violation,,,Story only,,
PP-002,PlanningPoker,"As a moderator, I want to invite estimators by giving them a URL where they can access the game, so that we can start the game.",Pragmatic,Estimatable,No Violation,,,Story + Backlog,,The backlog and the story itself provide sufficient scope for a preliminary estimate.
PP-002,PlanningPoker,"As a moderator, I want to invite estimators by giving them a URL where they can access the game, so that we can start the game.",Pragmatic,Unique,No Violation,,,Story + Backlog,,No substantial duplication was identified in the backlog.
PP-002,PlanningPoker,"As a moderator, I want to invite estimators by giving them a URL where they can access the game, so that we can start the game.",Pragmatic,Uniform,No Violation,,,Story + Backlog,,
PP-002,PlanningPoker,"As a moderator, I want to invite estimators by giving them a URL where they can access the game, so that we can start the game.",Pragmatic,Independent,No Violation,,,Story + Backlog,PP-001,
PP-002,PlanningPoker,"As a moderator, I want to invite estimators by giving them a URL where they can access the game, so that we can start the game.",Pragmatic,Complete,No Violation,,,Story + Backlog,,No evident complementary omission was identified in the available backlog.
PP-003,PlanningPoker,"As a moderator, I want to start a round by entering an item in a single multi-line text field, so that we can estimate it.",Syntactic,Well-formed,No Violation,,,Story only,,
PP-003,PlanningPoker,"As a moderator, I want to start a round by entering an item in a single multi-line text field, so that we can estimate it.",Syntactic,Atomic,No Violation,,,Story only,,
PP-003,PlanningPoker,"As a moderator, I want to start a round by entering an item in a single multi-line text field, so that we can estimate it.",Syntactic,Minimal,Violation,start a round by entering an item in a single multi-line text field,"The story incorporates solution, interface, technology, format, field, or constraint details that exceed the minimal description of the stakeholder need.",Story only,,
PP-003,PlanningPoker,"As a moderator, I want to start a round by entering an item in a single multi-line text field, so that we can estimate it.",Semantic,Conceptually sound,No Violation,,,Story only,,
PP-003,PlanningPoker,"As a moderator, I want to start a round by entering an item in a single multi-line text field, so that we can estimate it.",Semantic,Problem-oriented,Violation,start a round by entering an item in a single multi-line text field,"The story prescribes a mechanism, technology, format, interface element, or concrete solution instead of remaining at the level of the stakeholder need.",Story only,,
PP-003,PlanningPoker,"As a moderator, I want to start a round by entering an item in a single multi-line text field, so that we can estimate it.",Semantic,Unambiguous,No Violation,,,Story only,,
PP-003,PlanningPoker,"As a moderator, I want to start a round by entering an item in a single multi-line text field, so that we can estimate it.",Semantic,Conflict-free,No Violation,,,Story + Backlog,,No explicit conflict was identified in the available backlog.
PP-003,PlanningPoker,"As a moderator, I want to start a round by entering an item in a single multi-line text field, so that we can estimate it.",Pragmatic,Full sentence,No Violation,,,Story only,,
PP-003,PlanningPoker,"As a moderator, I want to start a round by entering an item in a single multi-line text field, so that we can estimate it.",Pragmatic,Estimatable,No Violation,,,Story + Backlog,,The backlog and the story itself provide sufficient scope for a preliminary estimate.
PP-003,PlanningPoker,"As a moderator, I want to start a round by entering an item in a single multi-line text field, so that we can estimate it.",Pragmatic,Unique,No Violation,,,Story + Backlog,,No substantial duplication was identified in the backlog.
PP-003,PlanningPoker,"As a moderator, I want to start a round by entering an item in a single multi-line text field, so that we can estimate it.",Pragmatic,Uniform,No Violation,,,Story + Backlog,,
PP-003,PlanningPoker,"As a moderator, I want to start a round by entering an item in a single multi-line text field, so that we can estimate it.",Pragmatic,Independent,No Violation,,,Story + Backlog,,No evident unnecessary dependency was identified.
PP-003,PlanningPoker,"As a moderator, I want to start a round by entering an item in a single multi-line text field, so that we can estimate it.",Pragmatic,Complete,No Violation,,,Story + Backlog,,No evident complementary omission was identified in the available backlog.
PP-004,PlanningPoker,"As a moderator, I want to see all items we try to estimate this session, so that I can answer questions about the current story such as ""does this include ___"".",Syntactic,Well-formed,No Violation,,,Story only,,
