model,project,criterion,n,TP,FP,FN,TN,precision,recall,F1,specificity,accuracy,balanced_accuracy,FPR,FNR,NPV,MCC
DeepSeek-V4-Pro,BADCamp,Atomic,62,1,1,1,59,0.5,0.5,0.5,0.9833333333333333,0.967741935483871,0.7416666666666667,0.016666666666666666,0.5,0.9833333333333333,0.48333333333333334
DeepSeek-V4-Pro,BADCamp,Complete,67,0,12,0,55,0.0,,,0.8208955223880597,0.8208955223880597,,0.1791044776119403,,1.0,
DeepSeek-V4-Pro,BADCamp,Conceptually sound,64,1,3,0,60,0.25,1.0,0.4,0.9523809523809523,0.953125,0.9761904761904762,0.047619047619047616,0.0,1.0,0.4879500364742666
DeepSeek-V4-Pro,BADCamp,Conflict-free,69,0,4,0,65,0.0,,,0.9420289855072463,0.9420289855072463,,0.057971014492753624,,1.0,
DeepSeek-V4-Pro,BADCamp,Estimatable,44,2,1,22,19,0.6666666666666666,0.08333333333333333,0.14814814814814814,0.95,0.4772727272727273,0.5166666666666666,0.05,0.9166666666666666,0.4634146341463415,0.06584863977663931
DeepSeek-V4-Pro,BADCamp,Full sentence,65,6,0,1,58,1.0,0.8571428571428571,0.923076923076923,1.0,0.9846153846153847,0.9285714285714286,0.0,0.14285714285714285,0.9830508474576272,0.9179406364828487
DeepSeek-V4-Pro,BADCamp,Independent,59,3,28,0,28,0.0967741935483871,1.0,0.17647058823529413,0.5,0.5254237288135594,0.75,0.5,0.0,1.0,0.21997067253202995
DeepSeek-V4-Pro,BADCamp,Minimal,54,5,1,2,46,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.9787234042553191,0.9444444444444444,0.8465045592705167,0.02127659574468085,0.2857142857142857,0.9583333333333334,0.740697116806178
DeepSeek-V4-Pro,BADCamp,Problem-oriented,54,16,1,7,30,0.9411764705882353,0.6956521739130435,0.7999999999999999,0.967741935483871,0.8518518518518519,0.8316970546984572,0.03225806451612903,0.30434782608695654,0.8108108108108109,0.7063030035484253
DeepSeek-V4-Pro,BADCamp,Unambiguous,47,12,0,21,14,1.0,0.36363636363636365,0.5333333333333333,1.0,0.5531914893617021,0.6818181818181819,0.0,0.6363636363636364,0.4,0.38138503569823695
DeepSeek-V4-Pro,BADCamp,Uniform,69,0,0,0,69,,,,1.0,1.0,,0.0,,1.0,
DeepSeek-V4-Pro,BADCamp,Unique,67,2,4,0,61,0.3333333333333333,1.0,0.5,0.9384615384615385,0.9402985074626866,0.9692307692307692,0.06153846153846154,0.0,1.0,0.5593035962878415
DeepSeek-V4-Pro,BADCamp,Well-formed,69,0,0,0,69,,,,1.0,1.0,,0.0,,1.0,
DeepSeek-V4-Pro,PlanningPoker,Atomic,51,0,0,0,51,,,,1.0,1.0,,0.0,,1.0,
DeepSeek-V4-Pro,PlanningPoker,Complete,52,0,11,0,41,0.0,,,0.7884615384615384,0.7884615384615384,,0.21153846153846154,,1.0,
DeepSeek-V4-Pro,PlanningPoker,Conceptually sound,52,0,4,0,48,0.0,,,0.9230769230769231,0.9230769230769231,,0.07692307692307693,,1.0,
DeepSeek-V4-Pro,PlanningPoker,Conflict-free,51,0,0,0,51,,,,1.0,1.0,,0.0,,1.0,
DeepSeek-V4-Pro,PlanningPoker,Estimatable,44,5,3,0,36,0.625,1.0,0.7692307692307693,0.9230769230769231,0.9318181818181818,0.9615384615384616,0.07692307692307693,0.0,1.0,0.7595545253127499
DeepSeek-V4-Pro,PlanningPoker,Full sentence,53,0,0,0,53,,,,1.0,1.0,,0.0,,1.0,
