criterion,total_gt_units,binary_units,violations,no_violations,excluded,violation_prevalence
Atomic,182,162,5,157,20,0.030864197530864196
Complete,182,178,0,178,4,0.0
Conceptually sound,182,176,1,175,6,0.005681818181818182
Conflict-free,182,180,0,180,2,0.0
Estimatable,182,129,37,92,53,0.2868217054263566
Full sentence,182,177,8,169,5,0.04519774011299435
Independent,182,156,3,153,26,0.019230769230769232
Minimal,182,133,20,113,49,0.15037593984962405
Problem-oriented,182,140,83,57,42,0.5928571428571429
Unambiguous,182,144,50,94,38,0.3472222222222222
Uniform,182,182,3,179,0,0.016483516483516484
Unique,182,176,4,172,6,0.022727272727272728
Well-formed,182,182,0,182,0,0.0
