metric,rank,model,value
F1_mean,1,DeepSeek-V4-Pro,0.4348986180309429
F1_mean,2,Gemini-3.1-Pro-Preview,0.41620238190153785
F1_mean,3,GPT-5.2,0.4013353595559016
F1_mean,4,GPT-4.1,0.3840941078448652
MCC_mean,1,DeepSeek-V4-Pro,0.3667384974960497
MCC_mean,2,Gemini-3.1-Pro-Preview,0.34430624461685927
MCC_mean,3,GPT-5.2,0.3366173589735575
MCC_mean,4,GPT-4.1,0.31061729045229375
balanced_accuracy_mean,1,GPT-5.2,0.7295306946171961
balanced_accuracy_mean,2,DeepSeek-V4-Pro,0.7193218522469728
balanced_accuracy_mean,3,Gemini-3.1-Pro-Preview,0.6992310982414568
balanced_accuracy_mean,4,GPT-4.1,0.6646228989169497
