case_id,model,prompt_profile,project,story_id,criterion,run,ground_truth,prediction,normalized_csv_record,parsed_artifact
Q01,DeepSeek-V4-Pro,zero_shot,PlanningPoker,PP-046,Minimal,3,Violation,Violation,77261,outputs/parsed/zero_shot/DeepSeek-V4-Pro/PlanningPoker/run_03/minimal.parsed.json
Q02,DeepSeek-V4-Pro,zero_shot,BADCamp,BC-013,Complete,3,No Violation,No Violation,72857,outputs/parsed/zero_shot/DeepSeek-V4-Pro/BADCamp/run_03/complete.parsed.json
Q03,DeepSeek-V4-Pro,zero_shot,Zooniverse,ZO-014,Conceptually sound,1,No Violation,Violation,79045,outputs/parsed/zero_shot/DeepSeek-V4-Pro/Zooniverse/run_01/conceptually_sound.parsed.json
Q04,DeepSeek-V4-Pro,one_shot,PlanningPoker,PP-027,Problem-oriented,2,Violation,No Violation,41116,outputs/parsed/one_shot/DeepSeek-V4-Pro/PlanningPoker/run_02/problem_oriented.parsed.json
Q05,DeepSeek-V4-Pro,one_shot,BADCamp,BC-017,Unambiguous,1,Violation,Violation,36129,outputs/parsed/one_shot/DeepSeek-V4-Pro/BADCamp/run_01/unambiguous.parsed.json
Q06,DeepSeek-V4-Pro,one_shot,Zooniverse,ZO-026,Independent,4,No Violation,No Violation,46147,outputs/parsed/one_shot/DeepSeek-V4-Pro/Zooniverse/run_04/independent.parsed.json
Q07,DeepSeek-V4-Pro,few_shot,PlanningPoker,PP-046,Estimatable,2,No Violation,Violation,5433,outputs/parsed/few_shot/DeepSeek-V4-Pro/PlanningPoker/run_02/estimatable.parsed.json
Q08,DeepSeek-V4-Pro,few_shot,BADCamp,BC-017,Atomic,5,Violation,No Violation,3606,outputs/parsed/few_shot/DeepSeek-V4-Pro/BADCamp/run_05/atomic.parsed.json
Q09,DeepSeek-V4-Pro,few_shot,Zooniverse,ZO-034,Problem-oriented,2,Violation,Violation,9225,outputs/parsed/few_shot/DeepSeek-V4-Pro/Zooniverse/run_02/problem_oriented.parsed.json
Q10,Gemini-3.1-Pro-Preview,zero_shot,PlanningPoker,PP-037,Full sentence,1,No Violation,No Violation,87598,outputs/parsed/zero_shot/Gemini-3.1-Pro-Preview/PlanningPoker/run_01/full_sentence.parsed.json
Q10,Gemini-3.1-Pro-Preview,zero_shot,PlanningPoker,PP-037,Full sentence,3,No Violation,No Violation,88976,outputs/parsed/zero_shot/Gemini-3.1-Pro-Preview/PlanningPoker/run_03/full_sentence.parsed.json
Q10,Gemini-3.1-Pro-Preview,zero_shot,PlanningPoker,PP-037,Full sentence,5,No Violation,No Violation,90354,outputs/parsed/zero_shot/Gemini-3.1-Pro-Preview/PlanningPoker/run_05/full_sentence.parsed.json
Q11,Gemini-3.1-Pro-Preview,zero_shot,BADCamp,BC-059,Conflict-free,1,No Violation,Violation,83077,outputs/parsed/zero_shot/Gemini-3.1-Pro-Preview/BADCamp/run_01/conflict_free.parsed.json
Q11,Gemini-3.1-Pro-Preview,zero_shot,BADCamp,BC-059,Conflict-free,2,No Violation,Violation,83974,outputs/parsed/zero_shot/Gemini-3.1-Pro-Preview/BADCamp/run_02/conflict_free.parsed.json
Q11,Gemini-3.1-Pro-Preview,zero_shot,BADCamp,BC-059,Conflict-free,3,No Violation,Violation,84871,outputs/parsed/zero_shot/Gemini-3.1-Pro-Preview/BADCamp/run_03/conflict_free.parsed.json
Q12,Gemini-3.1-Pro-Preview,zero_shot,Zooniverse,ZO-017,Estimatable,1,Violation,No Violation,90998,outputs/parsed/zero_shot/Gemini-3.1-Pro-Preview/Zooniverse/run_01/estimatable.parsed.json
Q12,Gemini-3.1-Pro-Preview,zero_shot,Zooniverse,ZO-017,Estimatable,3,Violation,No Violation,92558,outputs/parsed/zero_shot/Gemini-3.1-Pro-Preview/Zooniverse/run_03/estimatable.parsed.json
Q12,Gemini-3.1-Pro-Preview,zero_shot,Zooniverse,ZO-017,Estimatable,4,Violation,No Violation,93338,outputs/parsed/zero_shot/Gemini-3.1-Pro-Preview/Zooniverse/run_04/estimatable.parsed.json
Q13,Gemini-3.1-Pro-Preview,one_shot,PlanningPoker,PP-034,Unique,1,Violation,Violation,52423,outputs/parsed/one_shot/Gemini-3.1-Pro-Preview/PlanningPoker/run_01/unique.parsed.json
Q13,Gemini-3.1-Pro-Preview,one_shot,PlanningPoker,PP-034,Unique,2,Violation,Violation,53112,outputs/parsed/one_shot/Gemini-3.1-Pro-Preview/PlanningPoker/run_02/unique.parsed.json
Q13,Gemini-3.1-Pro-Preview,one_shot,PlanningPoker,PP-034,Unique,3,Violation,Violation,53801,outputs/parsed/one_shot/Gemini-3.1-Pro-Preview/PlanningPoker/run_03/unique.parsed.json
Q13,Gemini-3.1-Pro-Preview,one_shot,PlanningPoker,PP-034,Unique,4,Violation,Violation,54490,outputs/parsed/one_shot/Gemini-3.1-Pro-Preview/PlanningPoker/run_04/unique.parsed.json
Q13,Gemini-3.1-Pro-Preview,one_shot,PlanningPoker,PP-034,Unique,5,Violation,Violation,55179,outputs/parsed/one_shot/Gemini-3.1-Pro-Preview/PlanningPoker/run_05/unique.parsed.json
Q14,Gemini-3.1-Pro-Preview,one_shot,BADCamp,BC-015,Uniform,2,No Violation,No Violation,48923,outputs/parsed/one_shot/Gemini-3.1-Pro-Preview/BADCamp/run_02/uniform.parsed.json
Q14,Gemini-3.1-Pro-Preview,one_shot,BADCamp,BC-015,Uniform,3,No Violation,No Violation,49820,outputs/parsed/one_shot/Gemini-3.1-Pro-Preview/BADCamp/run_03/uniform.parsed.json
Q14,Gemini-3.1-Pro-Preview,one_shot,BADCamp,BC-015,Uniform,5,No Violation,No Violation,51614,outputs/parsed/one_shot/Gemini-3.1-Pro-Preview/BADCamp/run_05/uniform.parsed.json
Q15,Gemini-3.1-Pro-Preview,one_shot,Zooniverse,ZO-050,Independent,2,No Violation,Violation,56441,outputs/parsed/one_shot/Gemini-3.1-Pro-Preview/Zooniverse/run_02/independent.parsed.json
Q15,Gemini-3.1-Pro-Preview,one_shot,Zooniverse,ZO-050,Independent,4,No Violation,Violation,58001,outputs/parsed/one_shot/Gemini-3.1-Pro-Preview/Zooniverse/run_04/independent.parsed.json
Q16,Gemini-3.1-Pro-Preview,few_shot,PlanningPoker,PP-047,Minimal,1,Violation,No Violation,16734,outputs/parsed/few_shot/Gemini-3.1-Pro-Preview/PlanningPoker/run_01/minimal.parsed.json
Q16,Gemini-3.1-Pro-Preview,few_shot,PlanningPoker,PP-047,Minimal,5,Violation,No Violation,19490,outputs/parsed/few_shot/Gemini-3.1-Pro-Preview/PlanningPoker/run_05/minimal.parsed.json
Q17,Gemini-3.1-Pro-Preview,few_shot,BADCamp,BC-007,Full sentence,1,Violation,Violation,12183,outputs/parsed/few_shot/Gemini-3.1-Pro-Preview/BADCamp/run_01/full_sentence.parsed.json
Q17,Gemini-3.1-Pro-Preview,few_shot,BADCamp,BC-007,Full sentence,2,Violation,Violation,13080,outputs/parsed/few_shot/Gemini-3.1-Pro-Preview/BADCamp/run_02/full_sentence.parsed.json
Q17,Gemini-3.1-Pro-Preview,few_shot,BADCamp,BC-007,Full sentence,3,Violation,Violation,13977,outputs/parsed/few_shot/Gemini-3.1-Pro-Preview/BADCamp/run_03/full_sentence.parsed.json
Q17,Gemini-3.1-Pro-Preview,few_shot,BADCamp,BC-007,Full sentence,4,Violation,Violation,14874,outputs/parsed/few_shot/Gemini-3.1-Pro-Preview/BADCamp/run_04/full_sentence.parsed.json
Q18,Gemini-3.1-Pro-Preview,few_shot,Zooniverse,ZO-043,Well-formed,3,No Violation,No Violation,22084,outputs/parsed/few_shot/Gemini-3.1-Pro-Preview/Zooniverse/run_03/well_formed.parsed.json
Q18,Gemini-3.1-Pro-Preview,few_shot,Zooniverse,ZO-043,Well-formed,5,No Violation,No Violation,23644,outputs/parsed/few_shot/Gemini-3.1-Pro-Preview/Zooniverse/run_05/well_formed.parsed.json
Q19,GPT-5-Mini,zero_shot,PlanningPoker,PP-045,Unambiguous,1,No Violation,Violation,99648,outputs/parsed/zero_shot/GPT-5-Mini/PlanningPoker/run_01/unambiguous.parsed.json
Q20,GPT-5-Mini,zero_shot,BADCamp,BC-023,Atomic,3,Violation,No Violation,96458,outputs/parsed/zero_shot/GPT-5-Mini/BADCamp/run_03/atomic.parsed.json
