analysis_level,analysis_group,model,project,criterion,dimension,few_shot,one_shot,zero_shot
overall,all_models,DeepSeek-V4-Pro,BADCamp,Atomic,syntactic,0.4166666666666667,0.5622222222222222,0.3071428571428571
overall,all_models,DeepSeek-V4-Pro,BADCamp,Conceptually sound,semantic,0.3355555555555555,0.37,0.2911111111111111
overall,all_models,DeepSeek-V4-Pro,BADCamp,Estimatable,pragmatic,0.185365275142315,0.21556531703590526,0.10371245828698553
overall,all_models,DeepSeek-V4-Pro,BADCamp,Full sentence,pragmatic,0.8884119801766859,0.9275816993464051,0.9202614379084967
overall,all_models,DeepSeek-V4-Pro,BADCamp,Independent,pragmatic,0.13755383076494962,0.139391272590184,0.17462543554006965
overall,all_models,DeepSeek-V4-Pro,BADCamp,Minimal,syntactic,0.5960591133004927,0.5465494505494506,0.5800939749905267
overall,all_models,DeepSeek-V4-Pro,BADCamp,Problem-oriented,semantic,0.8201883777646961,0.8021580747343929,0.7905241935483871
overall,all_models,DeepSeek-V4-Pro,BADCamp,Unambiguous,semantic,0.47657267812183396,0.4786205757903871,0.486861063464837
overall,all_models,DeepSeek-V4-Pro,BADCamp,Unique,pragmatic,0.8,1.0,0.6799999999999999
overall,all_models,DeepSeek-V4-Pro,PlanningPoker,Complete,pragmatic,0.0,0.0,0.0
overall,all_models,DeepSeek-V4-Pro,PlanningPoker,Estimatable,pragmatic,0.6661764705882354,0.7273529411764705,0.7392717086834735
overall,all_models,DeepSeek-V4-Pro,PlanningPoker,Minimal,syntactic,0.5511192511192511,0.1,0.2
overall,all_models,DeepSeek-V4-Pro,PlanningPoker,Problem-oriented,semantic,0.8487883393202542,0.8651920620236992,0.8192613917502587
overall,all_models,DeepSeek-V4-Pro,PlanningPoker,Unambiguous,semantic,0.7095906432748538,0.654997341839447,0.6348917748917748
overall,all_models,DeepSeek-V4-Pro,PlanningPoker,Unique,pragmatic,0.76,0.7866666666666667,0.7276190476190476
