original_path,new_path,original_sha256,bytes,scope,preservation,operation
.env.example,.env.example,21dfaddd43f98cc12e2942289ffe81c3fb1994859f7e7fb74df55548e7c51d36,50,shared,unchanged,retained
.gitignore,.gitignore,32a2163fc0f795559d1d365e7527263eb835c7720aec6f4b8a163ddc65983615,474,shared,updated_code_or_configuration,retained
README.md,docs/history/readme_before_organization.md,46571981fdd25849cc4a506dd97164a1d9b524b682afc8ed43644a90eabd0a09,13430,historical/manual review,unchanged,moved_and_renamed
config/criteria.json,config/criteria.json,c030a00985326483a1878257368ba0868104dd9b2e69a25ff81b32031003876a,8025,shared,unchanged,retained
config/experiment.json,config/experiment.json,184859a9401fa9381b84d1db9faae34aa5f2f18c1bd40a5275f574023235b17b,1928,shared,updated_code_or_configuration,retained
config/prompt_examples.json,prompts/combined_examples_original.json,f7e27b09ff5fce6d8244ebe463714edd13458769fd1f2e0ca5a2c49c03b22fa1,26601,RQ1-RQ4,unchanged,moved_and_renamed
data/canonical/badcamp.txt,data/processed/badcamp.txt,ae82a8b76ca335e56461bfbd579fdfa05e7f1ecf30e801c0b1c73f75c4ece52a,10194,RQ1-RQ4,unchanged,moved
data/canonical/badcamp_id_map.json,data/processed/badcamp_id_map.json,c99a884d7ddf68e6352d8b4f7ab03b5d23cfefb98a892a5848ea9665a50cb9b9,15088,RQ1-RQ4,unchanged,moved
data/canonical/planningpoker.txt,data/processed/planningpoker.txt,17251dcb9e9eb280c6019672e4e7af2d38fdcebeb760559251d19d4864b996b2,7529,RQ1-RQ4,unchanged,moved
data/canonical/planningpoker_id_map.json,data/processed/planningpoker_id_map.json,55de1a95699e622a590cb2c4c3ae8be5998341060ae879ee87cc9c480adaf9ef,11291,RQ1-RQ4,unchanged,moved
data/canonical/zooniverse.txt,data/processed/zooniverse.txt,d47a3aef7bc0ac8356237f77572260cf3ea7e7ac32c1f688952a6b53345e0d02,6133,RQ1-RQ4,unchanged,moved
data/canonical/zooniverse_id_map.json,data/processed/zooniverse_id_map.json,443a4599347437bcd8c80057f58bc1ef8e7928bbb4d3ec9a8330b9cf9e7efb67,10386,RQ1-RQ4,unchanged,moved
data/source_inputs/g13-planningpoker-uploaded.txt,data/raw/g13-planningpoker-uploaded.txt,fa550777053504dc3c396749e2613d11fd59f4d641a6f308e5558defcaf4032a,7801,RQ1-RQ4,unchanged,moved
data/source_inputs/g21-badcamp-uploaded.txt,data/raw/g21-badcamp-uploaded.txt,7d5d79eafdd2323e9969a5fce3e90bd0d1670a72c046a5999db05efbdecacbc2,10263,RQ1-RQ4,unchanged,moved
data/source_inputs/g28-zooniverse-uploaded.txt,data/raw/g28-zooniverse-uploaded.txt,7f6e7f86a3c1d72ae53b0c14187a84e510f62221d01f29be851f7eb0cf41f112,13486,RQ1-RQ4,unchanged,moved
docs/aqusa_integration.md,docs/history/aqusa_integration.md,f62b7778f80acffdbd8e582763754268608281c7a7b6e4fee57b3e0a4ff33921,1880,historical/manual review,unchanged,moved
docs/cost_time_estimate.md,docs/history/cost_time_estimate.md,3d115930d6d063fb6c5fbafd6bc119c521bf03c7929b711d5750ccec7ff78d57,1812,historical/manual review,unchanged,moved
