model,provider,project,run,story_id,criterion,decision,evidence,rationale,related_story_ids,confidence,ground_truth
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-015,Atomic,No Violation,dedicated page for each class... information must be shown... SEO friendly,Expresses a single class detail page feature; listed data and URL path are attributes.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-016,Atomic,No Violation,training options clearly marked for the following information,Expresses a single training options listing feature with multiple display attributes.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-023,Atomic,Violation,identify myself as and pay for a $350 company sponsorship,"Combines sponsor identification and payment, separable capabilities.",[],Moderate,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-024,Atomic,No Violation,create and maintain venues,Expresses a single venue management feature; create and maintain are operations on one entity.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-028,Atomic,No Violation,"assign sponsors to events, trainings and summits",Expresses a single sponsor assignment feature across content types.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-030,Atomic,No Violation,Enter payment information and have my card charged,Expresses a single payment processing feature.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-046,Atomic,No Violation,see specific details on summits,"Expresses a single summit detail view; learning, registering, and location awareness are purposes, not separate features.",[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-020,Complete,No Violation,,Refund capability has payment creation stories elsewhere in the backlog.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-059,Complete,No Violation,,Notification story has session evaluation/submission support.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-003,Conceptually sound,No Violation,so that It is easier to use,The end expresses a usability rationale for emailing trainers.,[],Moderate,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-007,Conceptually sound,No Violation,"so that we can see if attendend, refunded, no show","The admin tracking view is the feature, and seeing status details is the rationale.",[],Moderate,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-015,Conceptually sound,No Violation,"so that I can choose the right class, AND the trainer can tweet and promote their class","The class page is the feature, and the ends express user and trainer benefits rather than another required feature.",[],Moderate,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-017,Conceptually sound,No Violation,so that I can shop for training all with one page and we can have a call for trainings for selection,"The landing page is the feature, and the ends explain the purposes: shopping and promoting a call for trainings.",[],Moderate,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-059,Conceptually sound,No Violation,so that I know whether I've been accepted or rejected,"Receiving notification is the feature, and knowing acceptance status is the rationale.",[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-006,Estimatable,No Violation,limit to one registration per day per authenticated user,Specific business rule is clear to estimate.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-009,Estimatable,No Violation,must accept the cancellation terms with a checkbox,Specific checkbox requirement.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-012,Estimatable,No Violation,see which trainings I have signed up for,Clear list of the user's registrations.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-018,Estimatable,No Violation,have a link on the home page to a list of training options,Clear navigation link requirement.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-023,Estimatable,No Violation,identify myself as and pay for a $350 company sponsorship,Clear sponsor purchase behavior.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-024,Estimatable,No Violation,create and maintain venues,CRUD venue management is estimatable.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-025,Estimatable,No Violation,view venue details,Clear detail view.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-028,Estimatable,No Violation,"assign sponsors to events, trainings and summits",Clear assignment behavior.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-030,Estimatable,No Violation,Enter payment information and have my card charged for an individual sponsorship,Clear payment processing behavior.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-033,Estimatable,No Violation,sign up for the BADCamp newsletter,Clear newsletter signup.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-037,Estimatable,Violation,sponsor a summit that matches my brand,"Sponsorship behavior is broad and vague; no defined selection, payment, or association steps.",[],Moderate,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-039,Estimatable,No Violation,get detailed directions to the summit venue,Clear directions requirement.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-041,Estimatable,No Violation,see a list of attendees signed up for my summit,Clear list requirement.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-043,Estimatable,No Violation,list sponsors for my summit,Clear list requirement.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-044,Estimatable,No Violation,list an agenda for my summit,Clear agenda list.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-045,Estimatable,No Violation,see how many seats are left for the summit,Clear count requirement.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-049,Estimatable,No Violation,use a WYSIWYG editor for all long-form content,Clear tool integration requirement.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-050,Estimatable,No Violation,Link to my sponsorship profile from my job listings,Clear link placement.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-052,Estimatable,No Violation,post a job,Clear job posting requirement.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-057,Estimatable,No Violation,bulk approve sessions as accepted,Clear bulk action.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-058,Estimatable,No Violation,mark a session as accepted,Clear single action.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-061,Estimatable,No Violation,edit my session,Clear edit action.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-063,Estimatable,No Violation,submit a session at BADCAMP,Clear submission action.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-064,Estimatable,Violation,personalize my sponsorship page,Personalization scope is too broad; it could mean simple field edits or full design customization.,[],Moderate,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-068,Estimatable,No Violation,fill out a user registration form,Clear form requirement.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-013,Full sentence,Violation,all attendee information Trainers can see all class attendance at first because there are so little trainers and they are trusted with privacy,"This portion is run-on and malformed, with a missing connective or punctuation between clauses, so the story does not read as a single well-formed sentence.",[],Moderate,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-016,Full sentence,No Violation,,Long but complete sentence with clear main clause and purpose.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-059,Full sentence,No Violation,,Complete sentence with clear main clause and purpose.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-066,Full sentence,No Violation,,Complete sentence; capitalization of 'Be' does not break completeness.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-008,Independent,No Violation,,Waitlist addition is part of the training registration flow; no clear prerequisite story exists.,[],Moderate,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-010,Independent,Violation,whatever registration / cancellation workflow exists,The story explicitly depends on an existing registration/cancellation workflow.,"[""BC-009""]",High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-012,Independent,No Violation,,Viewing signed-up trainings is a read view; no clear prerequisite training-registration story exists.,[],Low,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-030,Independent,No Violation,,Individual sponsorship payment capture can be implemented independently.,[],Moderate,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-040,Independent,Violation,see what summits I'm signed up for,Viewing summit registrations depends on summit registration.,"[""BC-038""]",High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-041,Independent,Violation,see a list of attendees signed up for my summit,Attendee list depends on summit registrations.,"[""BC-038""]",High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-054,Independent,Violation,assign a room to a time slot and a location,Schedule population depends on venues/rooms and accepted sessions.,"[""BC-024"", ""BC-058""]",Moderate,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-058,Independent,Violation,mark a session as accepted,Approval depends on sessions being submitted.,"[""BC-063""]",High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-059,Independent,Violation,receive a notification when sessions have been evaluated,Notification depends on session evaluation/approval and submissions.,"[""BC-058"", ""BC-063""]",High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-060,Independent,Violation,receive a notification when I submit a session,Notification depends on session submission.,"[""BC-063""]",High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-004,Minimal,No Violation,,"The story contains only role, means, and ends/rationale.",[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-005,Minimal,Violation,and links to slides,"The story appends extra means/information beyond the role, means, and ends structure.",[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-009,Minimal,No Violation,,"The story contains only role, means, and ends/rationale.",[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-010,Minimal,No Violation,,"Despite duplicated wording, no extra information beyond role, means, and ends is present.",[],Moderate,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-014,Minimal,No Violation,,"The story contains only role, means, and ends/rationale.",[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-018,Minimal,No Violation,,"The story contains only role, means, and ends/rationale.",[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-021,Minimal,No Violation,,"The story contains only role, means, and ends/rationale.",[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-030,Minimal,No Violation,,"The story contains only role, means, and ends/rationale.",[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-039,Minimal,No Violation,,"The story contains only role, means, and ends/rationale.",[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-046,Minimal,No Violation,,"The story contains only role, means, and ends/rationale, though the rationale is detailed.",[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-049,Minimal,No Violation,,"The story contains only role, means, and ends/rationale.",[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-054,Minimal,No Violation,,"The story contains only role, means, and ends/rationale.",[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-057,Minimal,No Violation,,"The story contains only role, means, and ends/rationale.",[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-067,Minimal,No Violation,,"The story contains only role, means, and ends/rationale.",[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-068,Minimal,No Violation,,"The story contains only role, means, and ends/rationale.",[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-004,Problem-oriented,Violation,very clear map where the buildings and rooms are,Prescribes a map as the solution to finding locations.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-006,Problem-oriented,No Violation,,States a business rule to prevent duplicate registrations without prescribing technical implementation.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-011,Problem-oriented,No Violation,,States a need to save trainings to a schedule without prescribing concrete UI or technical details.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-023,Problem-oriented,No Violation,,States a need to become a sponsor and pay without prescribing technical mechanisms.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-028,Problem-oriented,No Violation,,States a need to assign sponsors to events without prescribing implementation.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-031,Problem-oriented,Violation,link BADCamp attendees to my sponsorship page,Prescribes linking to a page as the mechanism rather than only the need to show attendance.,[],Moderate,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-041,Problem-oriented,No Violation,,States a need to see attendees and communicate with them; email is part of the rationale rather than a prescribed system mechanism.,[],Moderate,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-045,Problem-oriented,No Violation,,States an information need about remaining seats without prescribing implementation.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-056,Problem-oriented,No Violation,,States an information need about approved sessions without prescribing implementation.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-058,Problem-oriented,No Violation,,States a need to approve sessions without prescribing implementation.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-059,Problem-oriented,No Violation,,States a need to be informed of evaluation results without prescribing a specific mechanism.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-060,Problem-oriented,No Violation,,States a need for submission confirmation without prescribing a specific mechanism.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-061,Problem-oriented,No Violation,,States a need to correct session mistakes without prescribing implementation.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-062,Problem-oriented,No Violation,,States a need to register as a speaker without prescribing implementation.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-063,Problem-oriented,No Violation,,States a need to submit a session without prescribing implementation.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-006,Unambiguous,No Violation,,Limiting registration to one per day per authenticated user is specific and clear.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-009,Unambiguous,No Violation,,Requiring acceptance of cancellation terms via checkbox is clear despite awkward wording.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-012,Unambiguous,No Violation,,Seeing which trainings the trainee signed up for is specific and clear.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-018,Unambiguous,No Violation,,A home page link to training options is specific and clear.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-025,Unambiguous,No Violation,,Viewing venue details and events at the venue is clear.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-028,Unambiguous,No Violation,,"Assigning sponsors to events, trainings, and summits is clear.",[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-033,Unambiguous,No Violation,,Signing up for the BADCamp newsletter is clear.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-037,Unambiguous,Violation,summit that matches my brand,The phrase 'matches my brand' is subjective and unclear whether the sponsor selects a summit or the system recommends one.,[],Moderate,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-039,Unambiguous,No Violation,,Getting directions to the summit venue is understandable despite the subjective word 'detailed'.,[],Moderate,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-041,Unambiguous,No Violation,,Viewing a list of attendees for a summit is clear.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-043,Unambiguous,No Violation,,Listing sponsors for a summit is clear.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-044,Unambiguous,No Violation,,Listing an agenda for a summit is clear enough.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-045,Unambiguous,No Violation,,Seeing remaining seats for a summit is specific and clear.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-049,Unambiguous,Violation,all long-form content,The scope of 'all long-form content' is underspecified and could refer to different content types.,[],Moderate,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-050,Unambiguous,No Violation,,Linking from job listings to the sponsorship profile is clear.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-052,Unambiguous,No Violation,,Posting a job is clear.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-057,Unambiguous,No Violation,,Bulk approving sessions as accepted is clear.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-058,Unambiguous,No Violation,,Marking a session as accepted is clear.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-061,Unambiguous,No Violation,,Editing a submitted session to correct mistakes is clear enough.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-063,Unambiguous,No Violation,,Submitting a session for evaluation is clear.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-064,Unambiguous,Violation,personalize my sponsorship page,The scope of personalization is unspecified and could include materially different features.,[],Moderate,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-068,Unambiguous,No Violation,,Filling out a user registration form to register and get an account is clear.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-062,Unique,Violation,"register to speak at BADCamp, so that I submit a session","BC-062 and BC-063 both express the same session-submission requirement, with only a nominal actor/phrasing difference.","[""BC-063""]",Moderate,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-063,Unique,Violation,submit a session at BADCAMP,BC-063 duplicates BC-062's session-submission requirement with the same goal.,"[""BC-062""]",Moderate,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-015,Atomic,No Violation,dedicated page for each class,Single class detail page; listed information and SEO URL are attributes of that page.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-016,Atomic,No Violation,training options clearly marked,Single training option list feature; listed fields are attributes.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-023,Atomic,No Violation,identify myself as and pay for a $350 company sponsorship,Single self-service sponsorship purchase workflow.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-024,Atomic,No Violation,create and maintain venues,Single venue management feature.,[],High,Uncertain
