model,dimension,n,TP,FP,FN,TN,precision,recall,F1,specificity,accuracy,balanced_accuracy,FPR,FNR,NPV,MCC
DeepSeek-V4-Pro,Pragmatic,998,28,132,27,811,0.175,0.509090909090909,0.26046511627906976,0.8600212089077413,0.8406813627254509,0.6845560589993251,0.13997879109225875,0.4909090909090909,0.9677804295942721,0.22956913289094188
DeepSeek-V4-Pro,Semantic,640,76,90,58,416,0.4578313253012048,0.5671641791044776,0.5066666666666666,0.8221343873517787,0.76875,0.6946492832281281,0.17786561264822134,0.43283582089552236,0.8776371308016878,0.36138260756731166
DeepSeek-V4-Pro,Syntactic,477,9,3,16,449,0.75,0.36,0.48648648648648657,0.9933628318584071,0.960167714884696,0.6766814159292036,0.00663716814159292,0.64,0.9655913978494624,0.5028552503430804
GPT-4.1,Pragmatic,998,36,62,19,881,0.3673469387755102,0.6545454545454545,0.4705882352941177,0.9342523860021209,0.9188376753507014,0.7943989202737878,0.06574761399787911,0.34545454545454546,0.9788888888888889,0.4515118023363295
GPT-4.1,Semantic,640,42,85,92,421,0.33070866141732286,0.31343283582089554,0.3218390804597701,0.8320158102766798,0.7234375,0.5727243230487877,0.16798418972332016,0.6865671641791045,0.8206627680311891,0.14838048884924426
GPT-4.1,Syntactic,477,10,14,15,438,0.4166666666666667,0.4,0.4081632653061225,0.9690265486725663,0.939203354297694,0.6845132743362832,0.030973451327433628,0.6,0.9668874172185431,0.37622020121921546
GPT-5.2,Pragmatic,998,37,197,18,746,0.1581196581196581,0.6727272727272727,0.2560553633217993,0.7910922587486744,0.7845691382765531,0.7319097657379736,0.20890774125132555,0.32727272727272727,0.9764397905759162,0.24982253791370196
GPT-5.2,Semantic,640,91,131,43,375,0.4099099099099099,0.6791044776119403,0.5112359550561797,0.741106719367589,0.728125,0.7101055984897646,0.25889328063241107,0.3208955223880597,0.8971291866028708,0.3591953037904989
GPT-5.2,Syntactic,477,7,16,18,436,0.30434782608695654,0.28,0.2916666666666667,0.9646017699115044,0.9287211740041929,0.6223008849557522,0.035398230088495575,0.72,0.960352422907489,0.2544526466752847
Gemini-3.1-Pro-Preview,Pragmatic,998,23,140,32,803,0.1411042944785276,0.41818181818181815,0.2110091743119266,0.8515376458112407,0.8276553106212425,0.6348597319965295,0.14846235418875928,0.5818181818181818,0.9616766467065868,0.16649931040443133
Gemini-3.1-Pro-Preview,Semantic,640,73,51,61,455,0.5887096774193549,0.5447761194029851,0.5658914728682171,0.8992094861660079,0.825,0.7219928027844965,0.1007905138339921,0.4552238805970149,0.8817829457364341,0.45704699124659703
Gemini-3.1-Pro-Preview,Syntactic,477,10,2,15,450,0.8333333333333334,0.4,0.5405405405405406,0.995575221238938,0.9643605870020965,0.697787610619469,0.004424778761061947,0.6,0.967741935483871,0.5629258625177985
