level,model,project,run,criterion,dimension,n,TP,FP,FN,TN,precision,recall,F1,specificity,accuracy,balanced_accuracy,FPR,FNR,NPV,MCC
project_criterion,DeepSeek-V4-Pro,BADCamp,1,Atomic,,62,1,1,1,59,0.5,0.5,0.5,0.9833333333333333,0.967741935483871,0.7416666666666667,0.016666666666666666,0.5,0.9833333333333333,0.48333333333333334
project_criterion,DeepSeek-V4-Pro,BADCamp,1,Complete,,67,0,3,0,64,0.0,,0.0,0.9552238805970149,0.9552238805970149,,0.04477611940298507,,1.0,
project_criterion,DeepSeek-V4-Pro,BADCamp,1,Conceptually sound,,64,1,4,0,59,0.2,1.0,0.3333333333333333,0.9365079365079365,0.9375,0.9682539682539683,0.06349206349206349,0.0,1.0,0.4327835340000672
project_criterion,DeepSeek-V4-Pro,BADCamp,1,Conflict-free,,69,0,4,0,65,0.0,,0.0,0.9420289855072463,0.9420289855072463,,0.057971014492753624,,1.0,
project_criterion,DeepSeek-V4-Pro,BADCamp,1,Estimatable,,44,2,1,22,19,0.6666666666666666,0.08333333333333333,0.14814814814814814,0.95,0.4772727272727273,0.5166666666666666,0.05,0.9166666666666666,0.4634146341463415,0.06584863977663931
project_criterion,DeepSeek-V4-Pro,BADCamp,1,Full sentence,,65,5,0,2,58,1.0,0.7142857142857143,0.8333333333333334,1.0,0.9692307692307692,0.8571428571428572,0.0,0.2857142857142857,0.9666666666666667,0.8309489698388165
project_criterion,DeepSeek-V4-Pro,BADCamp,1,Independent,,59,3,28,0,28,0.0967741935483871,1.0,0.17647058823529413,0.5,0.5254237288135594,0.75,0.5,0.0,1.0,0.21997067253202995
project_criterion,DeepSeek-V4-Pro,BADCamp,1,Minimal,,54,5,0,2,47,1.0,0.7142857142857143,0.8333333333333334,1.0,0.9629629629629629,0.8571428571428572,0.0,0.2857142857142857,0.9591836734693877,0.8277265220682958
project_criterion,DeepSeek-V4-Pro,BADCamp,1,Problem-oriented,,54,17,1,6,30,0.9444444444444444,0.7391304347826086,0.8292682926829268,0.967741935483871,0.8703703703703703,0.8534361851332398,0.03225806451612903,0.2608695652173913,0.8333333333333334,0.7414779978653264
project_criterion,DeepSeek-V4-Pro,BADCamp,1,Unambiguous,,47,12,1,21,13,0.9230769230769231,0.36363636363636365,0.5217391304347826,0.9285714285714286,0.5319148936170213,0.6461038961038961,0.07142857142857142,0.6363636363636364,0.38235294117647056,0.2987456883501582
