model,project,criterion,runs,TP_mean,TP_sd,FP_mean,FP_sd,FN_mean,FN_sd,TN_mean,TN_sd,precision_mean,precision_sd,precision_defined_runs,recall_mean,recall_sd,recall_defined_runs,F1_mean,F1_sd,F1_defined_runs,specificity_mean,specificity_sd,specificity_defined_runs,accuracy_mean,accuracy_sd,accuracy_defined_runs,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_defined_runs,FPR_mean,FPR_sd,FPR_defined_runs,FNR_mean,FNR_sd,FNR_defined_runs,NPV_mean,NPV_sd,NPV_defined_runs,MCC_mean,MCC_sd,MCC_defined_runs
DeepSeek-V4-Pro,BADCamp,Atomic,5,1.4,0.5477225575051661,0.6,0.5477225575051661,0.6,0.5477225575051661,59.4,0.5477225575051661,0.7666666666666666,0.223606797749979,5,0.7,0.27386127875258304,5,0.6866666666666666,0.12382783747337808,5,0.99,0.009128709291752798,5,0.9806451612903226,0.007213122508063831,5,0.845,0.13393095235978875,5,0.01,0.009128709291752768,5,0.3,0.27386127875258304,5,0.9901092896174863,0.009029630951593794,5,0.7010469573670739,0.13322405697837778,5
DeepSeek-V4-Pro,BADCamp,Complete,5,0.0,0.0,11.0,4.795831523312719,0.0,0.0,56.0,4.795831523312719,0.0,0.0,5,,,0,0.0,0.0,5,0.835820895522388,0.0715795749748167,5,0.835820895522388,0.0715795749748167,5,,,0,0.16417910447761194,0.0715795749748167,5,,,0,1.0,0.0,5,,,0
DeepSeek-V4-Pro,BADCamp,Conceptually sound,5,1.0,0.0,5.6,4.827007354458868,0.0,0.0,57.4,4.827007354458868,0.20333333333333334,0.09888264649460883,5,1.0,0.0,5,0.32880952380952383,0.13945451716698404,5,0.9111111111111111,0.07661916435648995,5,0.9125,0.0754219899134198,5,0.9555555555555555,0.03830958217824501,5,0.08888888888888888,0.07661916435648997,5,0.0,0.0,5,1.0,0.0,5,0.42165375145104494,0.1269642891480273,5
DeepSeek-V4-Pro,BADCamp,Conflict-free,5,0.0,0.0,3.2,1.7888543819998317,0.0,0.0,65.8,1.7888543819998317,0.0,0.0,4,,,0,0.0,0.0,4,0.9536231884057971,0.025925425826084533,5,0.9536231884057971,0.025925425826084533,5,,,0,0.0463768115942029,0.02592542582608452,5,,,0,1.0,0.0,5,,,0
DeepSeek-V4-Pro,BADCamp,Estimatable,5,2.0,0.7071067811865476,1.2,0.4472135954999579,22.0,0.7071067811865476,18.8,0.4472135954999579,0.6166666666666667,0.11180339887498948,5,0.08333333333333333,0.02946278254943948,5,0.14607244607244607,0.0486149166076408,5,0.94,0.022360679774997866,5,0.4727272727272727,0.019015000603047182,5,0.5116666666666666,0.01849361751764344,5,0.060000000000000005,0.022360679774997897,5,0.9166666666666666,0.029462782549439494,5,0.46084204413472707,0.010035239754284591,5,0.04256261996784465,0.0665570476328204,5
DeepSeek-V4-Pro,BADCamp,Full sentence,5,6.0,0.7071067811865476,0.8,1.3038404810405297,1.0,0.7071067811865476,57.2,1.3038404810405297,0.9114285714285714,0.13340134319918576,5,0.8571428571428571,0.10101525445522107,5,0.8720318896789485,0.048174014743733534,5,0.9862068965517241,0.022480008293802235,5,0.9723076923076923,0.012871692715908862,5,0.9216748768472907,0.041877354037577086,5,0.013793103448275862,0.022480008293802235,5,0.14285714285714285,0.10101525445522107,5,0.9831053964543153,0.011787553505861843,5,0.8642933420682419,0.04979684951210249,5
DeepSeek-V4-Pro,BADCamp,Independent,5,3.0,0.0,29.0,1.8708286933869707,0.0,0.0,27.0,1.8708286933869707,0.09399769585253456,0.005302692347358196,5,1.0,0.0,5,0.1718081299505448,0.008885526050591903,5,0.48214285714285715,0.03340765523905307,5,0.5084745762711864,0.031708960904863914,5,0.7410714285714286,0.01670382761952651,5,0.5178571428571429,0.033407655239053036,5,0.0,0.0,5,1.0,0.0,5,0.21288168432511848,0.013381265319912648,5
DeepSeek-V4-Pro,BADCamp,Minimal,5,5.0,0.0,1.0,1.0,2.0,0.0,46.0,1.0,0.8523809523809524,0.1432534186332507,5,0.7142857142857143,0.0,5,0.7728937728937729,0.05955902029856814,5,0.9787234042553191,0.021276595744680826,5,0.9444444444444444,0.01851851851851849,5,0.8465045592705167,0.010638297872340441,5,0.02127659574468085,0.02127659574468085,5,0.2857142857142857,0.0,5,0.9583188594586771,0.0008684701709386571,5,0.747923041307095,0.07810152893825321,5
DeepSeek-V4-Pro,BADCamp,Problem-oriented,5,16.2,0.8366600265340756,1.0,0.0,6.8,0.8366600265340756,30.0,0.0,0.9417483660130719,0.0028827252882969424,5,0.7043478260869565,0.03637652289278587,5,0.8055534709193246,0.025029014558199187,5,0.967741935483871,0.0,5,0.8555555555555555,0.01549370419507545,5,0.8360448807854137,0.018188261446392934,5,0.03225806451612903,0.0,5,0.2956521739130435,0.036376522892785895,5,0.8155523944997629,0.0184213730060693,5,0.7133752037992216,0.02936285751726355,5
DeepSeek-V4-Pro,BADCamp,Unambiguous,5,11.2,0.8366600265340756,0.2,0.4472135954999579,21.8,0.8366600265340756,13.8,0.4472135954999579,0.9846153846153847,0.03440104580768905,5,0.3393939393939394,0.02535333413739623,5,0.5040377485675767,0.02607229286826875,5,0.9857142857142858,0.03194382824999698,5,0.5319148936170213,0.015044825131628692,5,0.6625541125541126,0.014119125763896508,5,0.014285714285714285,0.031943828249996996,5,0.6606060606060606,0.025353334137396245,5,0.3877018194665254,0.0082097588994276,5,0.3477656037215139,0.03129828279148882,5
