duplicate_group,original_sha256,original_path,new_path
1,ae82a8b76ca335e56461bfbd579fdfa05e7f1ecf30e801c0b1c73f75c4ece52a,data/canonical/badcamp.txt,data/processed/badcamp.txt
1,ae82a8b76ca335e56461bfbd579fdfa05e7f1ecf30e801c0b1c73f75c4ece52a,vendor/aqusa-core/input/experiment-badcamp.txt,vendor/aqusa-core/input/experiment-badcamp.txt
2,17251dcb9e9eb280c6019672e4e7af2d38fdcebeb760559251d19d4864b996b2,data/canonical/planningpoker.txt,data/processed/planningpoker.txt
2,17251dcb9e9eb280c6019672e4e7af2d38fdcebeb760559251d19d4864b996b2,vendor/aqusa-core/input/experiment-planningpoker.txt,vendor/aqusa-core/input/experiment-planningpoker.txt
3,d47a3aef7bc0ac8356237f77572260cf3ea7e7ac32c1f688952a6b53345e0d02,data/canonical/zooniverse.txt,data/processed/zooniverse.txt
3,d47a3aef7bc0ac8356237f77572260cf3ea7e7ac32c1f688952a6b53345e0d02,vendor/aqusa-core/input/experiment-zooniverse.txt,vendor/aqusa-core/input/experiment-zooniverse.txt
4,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,results/audit/.gitkeep,docs/provenance/execution_audit/.gitkeep
4,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,results/metrics/.gitkeep,results/rq1/metrics/.gitkeep
4,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,results/normalized/.gitkeep,outputs/parsed/normalized/.gitkeep
4,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,results/previous_single_prompt/metrics/.gitkeep,results/archive/previous_single_prompt/metrics/.gitkeep
4,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,results/previous_single_prompt/normalized/.gitkeep,outputs/parsed/archive/previous_single_prompt/normalized/.gitkeep
4,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,results/raw/.gitkeep,outputs/raw/.gitkeep
4,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,results/tables/.gitkeep,results/rq1/tables/.gitkeep
5,136a6c1f96c0b054a3368425ff6baa136f7ac99af244a741c28769f68b77d61f,results/metrics/aqusa_supported5_by_run.csv,results/rq1/metrics/aqusa_supported5_by_run.csv
5,136a6c1f96c0b054a3368425ff6baa136f7ac99af244a741c28769f68b77d61f,results/tables/08_aqusa_supported5_by_prompt_model_project_run.csv,results/rq1/tables/08_aqusa_supported5_by_prompt_model_project_run.csv
6,45877443f64fa5ca5db4c68d10b573f572fea66a1be8119130d6299be08bc95a,results/metrics/majority_vote_metrics.csv,results/rq3/metrics/majority_vote_metrics.csv
6,45877443f64fa5ca5db4c68d10b573f572fea66a1be8119130d6299be08bc95a,results/tables/06_majority_vote_by_prompt_model_project.csv,results/rq3/tables/06_majority_vote_by_prompt_model_project.csv
7,228972c38bdcd0377bddde114d878c5dba147b80391f2086ed50e1bfa5a6c653,results/metrics/variability.csv,results/rq3/metrics/variability.csv
7,228972c38bdcd0377bddde114d878c5dba147b80391f2086ed50e1bfa5a6c653,results/tables/07_variability_raw_by_prompt_model_criterion_project.csv,results/rq3/tables/07_variability_raw_by_prompt_model_criterion_project.csv
8,dccf36b8fe56909a74d779734448695232771f31c25ea8e66de0c146651384f1,results/normalized/aqusa_predictions.csv,outputs/parsed/normalized/aqusa_predictions.csv
8,dccf36b8fe56909a74d779734448695232771f31c25ea8e66de0c146651384f1,results/previous_single_prompt/normalized/aqusa_predictions.csv,outputs/parsed/archive/previous_single_prompt/normalized/aqusa_predictions.csv
9,1f8309f1dcbb40f171813057f2bcf4218b9d12f6ec6eebc417a12aaf6f0353c5,results/previous_single_prompt/raw/DeepSeek-V4-Pro/BADCamp/run_01/atomic.request.json,outputs/raw/archive/previous_single_prompt/DeepSeek-V4-Pro/BADCamp/run_01/atomic.request.json
9,1f8309f1dcbb40f171813057f2bcf4218b9d12f6ec6eebc417a12aaf6f0353c5,results/previous_single_prompt/raw/DeepSeek-V4-Pro/BADCamp/run_02/atomic.request.json,outputs/raw/archive/previous_single_prompt/DeepSeek-V4-Pro/BADCamp/run_02/atomic.request.json
9,1f8309f1dcbb40f171813057f2bcf4218b9d12f6ec6eebc417a12aaf6f0353c5,results/previous_single_prompt/raw/DeepSeek-V4-Pro/BADCamp/run_03/atomic.request.json,outputs/raw/archive/previous_single_prompt/DeepSeek-V4-Pro/BADCamp/run_03/atomic.request.json
9,1f8309f1dcbb40f171813057f2bcf4218b9d12f6ec6eebc417a12aaf6f0353c5,results/previous_single_prompt/raw/DeepSeek-V4-Pro/BADCamp/run_04/atomic.request.json,outputs/raw/archive/previous_single_prompt/DeepSeek-V4-Pro/BADCamp/run_04/atomic.request.json
9,1f8309f1dcbb40f171813057f2bcf4218b9d12f6ec6eebc417a12aaf6f0353c5,results/previous_single_prompt/raw/DeepSeek-V4-Pro/BADCamp/run_05/atomic.request.json,outputs/raw/archive/previous_single_prompt/DeepSeek-V4-Pro/BADCamp/run_05/atomic.request.json
10,6e6148334e296f6921c7faadebf1c198a6c0568faa6da88122e402432d5a31b9,results/previous_single_prompt/raw/DeepSeek-V4-Pro/BADCamp/run_01/complete.request.json,outputs/raw/archive/previous_single_prompt/DeepSeek-V4-Pro/BADCamp/run_01/complete.request.json
10,6e6148334e296f6921c7faadebf1c198a6c0568faa6da88122e402432d5a31b9,results/previous_single_prompt/raw/DeepSeek-V4-Pro/BADCamp/run_02/complete.request.json,outputs/raw/archive/previous_single_prompt/DeepSeek-V4-Pro/BADCamp/run_02/complete.request.json
10,6e6148334e296f6921c7faadebf1c198a6c0568faa6da88122e402432d5a31b9,results/previous_single_prompt/raw/DeepSeek-V4-Pro/BADCamp/run_03/complete.request.json,outputs/raw/archive/previous_single_prompt/DeepSeek-V4-Pro/BADCamp/run_03/complete.request.json
10,6e6148334e296f6921c7faadebf1c198a6c0568faa6da88122e402432d5a31b9,results/previous_single_prompt/raw/DeepSeek-V4-Pro/BADCamp/run_04/complete.request.json,outputs/raw/archive/previous_single_prompt/DeepSeek-V4-Pro/BADCamp/run_04/complete.request.json
10,6e6148334e296f6921c7faadebf1c198a6c0568faa6da88122e402432d5a31b9,results/previous_single_prompt/raw/DeepSeek-V4-Pro/BADCamp/run_05/complete.request.json,outputs/raw/archive/previous_single_prompt/DeepSeek-V4-Pro/BADCamp/run_05/complete.request.json
11,2c7fe1608e584f1ee306523fb25a2b30c22a3b48883b967fe1a1c37823cfd4bb,results/previous_single_prompt/raw/DeepSeek-V4-Pro/BADCamp/run_01/conceptually_sound.request.json,outputs/raw/archive/previous_single_prompt/DeepSeek-V4-Pro/BADCamp/run_01/conceptually_sound.request.json
11,2c7fe1608e584f1ee306523fb25a2b30c22a3b48883b967fe1a1c37823cfd4bb,results/previous_single_prompt/raw/DeepSeek-V4-Pro/BADCamp/run_02/conceptually_sound.request.json,outputs/raw/archive/previous_single_prompt/DeepSeek-V4-Pro/BADCamp/run_02/conceptually_sound.request.json
11,2c7fe1608e584f1ee306523fb25a2b30c22a3b48883b967fe1a1c37823cfd4bb,results/previous_single_prompt/raw/DeepSeek-V4-Pro/BADCamp/run_03/conceptually_sound.request.json,outputs/raw/archive/previous_single_prompt/DeepSeek-V4-Pro/BADCamp/run_03/conceptually_sound.request.json
11,2c7fe1608e584f1ee306523fb25a2b30c22a3b48883b967fe1a1c37823cfd4bb,results/previous_single_prompt/raw/DeepSeek-V4-Pro/BADCamp/run_04/conceptually_sound.request.json,outputs/raw/archive/previous_single_prompt/DeepSeek-V4-Pro/BADCamp/run_04/conceptually_sound.request.json
11,2c7fe1608e584f1ee306523fb25a2b30c22a3b48883b967fe1a1c37823cfd4bb,results/previous_single_prompt/raw/DeepSeek-V4-Pro/BADCamp/run_05/conceptually_sound.request.json,outputs/raw/archive/previous_single_prompt/DeepSeek-V4-Pro/BADCamp/run_05/conceptually_sound.request.json
12,8f6d726b35bef3259768e0eaa61bc777b88e3edbe2b4edd49ecc0c561dad77ae,results/previous_single_prompt/raw/DeepSeek-V4-Pro/BADCamp/run_01/conflict_free.request.json,outputs/raw/archive/previous_single_prompt/DeepSeek-V4-Pro/BADCamp/run_01/conflict_free.request.json
12,8f6d726b35bef3259768e0eaa61bc777b88e3edbe2b4edd49ecc0c561dad77ae,results/previous_single_prompt/raw/DeepSeek-V4-Pro/BADCamp/run_02/conflict_free.request.json,outputs/raw/archive/previous_single_prompt/DeepSeek-V4-Pro/BADCamp/run_02/conflict_free.request.json
12,8f6d726b35bef3259768e0eaa61bc777b88e3edbe2b4edd49ecc0c561dad77ae,results/previous_single_prompt/raw/DeepSeek-V4-Pro/BADCamp/run_03/conflict_free.request.json,outputs/raw/archive/previous_single_prompt/DeepSeek-V4-Pro/BADCamp/run_03/conflict_free.request.json
