model,project,criterion,dimension,prompt_profile,runs_observed,gt_positive,metric,metric_values_available,exclusion_or_warning
DeepSeek-V4-Pro,BADCamp,Atomic,syntactic,few_shot,5,5.0,F1,5,
DeepSeek-V4-Pro,BADCamp,Atomic,syntactic,one_shot,5,5.0,F1,5,
DeepSeek-V4-Pro,BADCamp,Atomic,syntactic,zero_shot,5,5.0,F1,5,
DeepSeek-V4-Pro,BADCamp,Complete,pragmatic,few_shot,5,0.0,F1,5,no_positive_ground_truth
DeepSeek-V4-Pro,BADCamp,Complete,pragmatic,one_shot,5,0.0,F1,5,no_positive_ground_truth
DeepSeek-V4-Pro,BADCamp,Complete,pragmatic,zero_shot,5,0.0,F1,5,no_positive_ground_truth
DeepSeek-V4-Pro,BADCamp,Conceptually sound,semantic,few_shot,5,4.0,F1,5,
DeepSeek-V4-Pro,BADCamp,Conceptually sound,semantic,one_shot,5,4.0,F1,5,
DeepSeek-V4-Pro,BADCamp,Conceptually sound,semantic,zero_shot,5,4.0,F1,5,
DeepSeek-V4-Pro,BADCamp,Conflict-free,semantic,few_shot,5,0.0,F1,0,no_positive_ground_truth;metric_undefined_all_runs
DeepSeek-V4-Pro,BADCamp,Conflict-free,semantic,one_shot,5,0.0,F1,1,no_positive_ground_truth;metric_undefined_some_runs_1_of_5
DeepSeek-V4-Pro,BADCamp,Conflict-free,semantic,zero_shot,5,0.0,F1,0,no_positive_ground_truth;metric_undefined_all_runs
DeepSeek-V4-Pro,BADCamp,Estimatable,pragmatic,few_shot,5,28.0,F1,5,
DeepSeek-V4-Pro,BADCamp,Estimatable,pragmatic,one_shot,5,28.0,F1,5,
DeepSeek-V4-Pro,BADCamp,Estimatable,pragmatic,zero_shot,5,28.0,F1,5,
DeepSeek-V4-Pro,BADCamp,Full sentence,pragmatic,few_shot,5,8.0,F1,5,
DeepSeek-V4-Pro,BADCamp,Full sentence,pragmatic,one_shot,5,8.0,F1,5,
DeepSeek-V4-Pro,BADCamp,Full sentence,pragmatic,zero_shot,5,8.0,F1,5,
DeepSeek-V4-Pro,BADCamp,Independent,pragmatic,few_shot,5,3.0,F1,5,
DeepSeek-V4-Pro,BADCamp,Independent,pragmatic,one_shot,5,3.0,F1,5,
DeepSeek-V4-Pro,BADCamp,Independent,pragmatic,zero_shot,5,3.0,F1,5,
DeepSeek-V4-Pro,BADCamp,Minimal,syntactic,few_shot,5,18.0,F1,5,
DeepSeek-V4-Pro,BADCamp,Minimal,syntactic,one_shot,5,18.0,F1,5,
DeepSeek-V4-Pro,BADCamp,Minimal,syntactic,zero_shot,5,18.0,F1,5,
DeepSeek-V4-Pro,BADCamp,Problem-oriented,semantic,few_shot,5,26.0,F1,5,
DeepSeek-V4-Pro,BADCamp,Problem-oriented,semantic,one_shot,5,26.0,F1,5,
DeepSeek-V4-Pro,BADCamp,Problem-oriented,semantic,zero_shot,5,26.0,F1,5,
DeepSeek-V4-Pro,BADCamp,Unambiguous,semantic,few_shot,5,40.0,F1,5,
DeepSeek-V4-Pro,BADCamp,Unambiguous,semantic,one_shot,5,40.0,F1,5,
DeepSeek-V4-Pro,BADCamp,Unambiguous,semantic,zero_shot,5,40.0,F1,5,
DeepSeek-V4-Pro,BADCamp,Uniform,pragmatic,few_shot,5,0.0,F1,0,no_positive_ground_truth;metric_undefined_all_runs
DeepSeek-V4-Pro,BADCamp,Uniform,pragmatic,one_shot,5,0.0,F1,1,no_positive_ground_truth;metric_undefined_some_runs_1_of_5
DeepSeek-V4-Pro,BADCamp,Uniform,pragmatic,zero_shot,5,0.0,F1,1,no_positive_ground_truth;metric_undefined_some_runs_1_of_5
DeepSeek-V4-Pro,BADCamp,Unique,pragmatic,few_shot,5,2.0,F1,5,
DeepSeek-V4-Pro,BADCamp,Unique,pragmatic,one_shot,5,2.0,F1,5,
DeepSeek-V4-Pro,BADCamp,Unique,pragmatic,zero_shot,5,2.0,F1,5,
DeepSeek-V4-Pro,BADCamp,Well-formed,syntactic,few_shot,5,0.0,F1,0,no_positive_ground_truth;metric_undefined_all_runs
DeepSeek-V4-Pro,BADCamp,Well-formed,syntactic,one_shot,5,0.0,F1,0,no_positive_ground_truth;metric_undefined_all_runs
DeepSeek-V4-Pro,BADCamp,Well-formed,syntactic,zero_shot,5,0.0,F1,0,no_positive_ground_truth;metric_undefined_all_runs
