level,prompt_profile,model,project,run,criterion,dimension,n,TP,FP,FN,TN,precision,recall,F1,specificity,accuracy,balanced_accuracy,FPR,FNR,NPV,MCC
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,1,Atomic,,69,2,1,3,63,0.6666666666666666,0.4,0.5,0.984375,0.9420289855072463,0.6921875,0.015625,0.6,0.9545454545454546,0.48864957698836603
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,1,Complete,,69,0,4,0,65,0.0,,0.0,0.9420289855072463,0.9420289855072463,,0.057971014492753624,,1.0,
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,1,Conceptually sound,,69,1,1,3,64,0.5,0.25,0.3333333333333333,0.9846153846153847,0.9420289855072463,0.6173076923076923,0.015384615384615385,0.75,0.9552238805970149,0.3268065572052932
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,1,Conflict-free,,69,0,0,0,69,,,,1.0,1.0,,0.0,,1.0,
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,1,Estimatable,,69,4,2,24,39,0.6666666666666666,0.14285714285714285,0.23529411764705882,0.9512195121951219,0.6231884057971014,0.5470383275261324,0.04878048780487805,0.8571428571428571,0.6190476190476191,0.16394829764485844
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,1,Full sentence,,69,8,1,0,60,0.8888888888888888,1.0,0.9411764705882353,0.9836065573770492,0.9855072463768116,0.9918032786885246,0.01639344262295082,0.0,1.0,0.9350491644243688
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,1,Independent,,69,3,40,0,26,0.06976744186046512,1.0,0.13043478260869565,0.3939393939393939,0.42028985507246375,0.696969696969697,0.6060606060606061,0.0,1.0,0.16578342427158854
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,1,Minimal,,69,8,2,10,49,0.8,0.4444444444444444,0.5714285714285714,0.9607843137254902,0.8260869565217391,0.7026143790849673,0.0392156862745098,0.5555555555555556,0.8305084745762712,0.5054702426139072
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,1,Problem-oriented,,69,20,1,6,42,0.9523809523809523,0.7692307692307693,0.851063829787234,0.9767441860465116,0.8985507246376812,0.8729874776386404,0.023255813953488372,0.23076923076923078,0.875,0.7856242543033247
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,1,Unambiguous,,69,14,1,26,28,0.9333333333333333,0.35,0.509090909090909,0.9655172413793104,0.6086956521739131,0.6577586206896552,0.034482758620689655,0.65,0.5185185185185185,0.37758052096000544
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,1,Uniform,,69,0,0,0,69,,,,1.0,1.0,,0.0,,1.0,
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,1,Unique,,69,2,8,0,59,0.2,1.0,0.3333333333333333,0.8805970149253731,0.8840579710144928,0.9402985074626866,0.11940298507462686,0.0,1.0,0.41966582298904753
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,1,Well-formed,,69,0,0,0,69,,,,1.0,1.0,,0.0,,1.0,
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,2,Atomic,,69,2,1,3,63,0.6666666666666666,0.4,0.5,0.984375,0.9420289855072463,0.6921875,0.015625,0.6,0.9545454545454546,0.48864957698836603
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,2,Complete,,69,0,13,0,56,0.0,,0.0,0.8115942028985508,0.8115942028985508,,0.18840579710144928,,1.0,
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,2,Conceptually sound,,69,2,12,2,53,0.14285714285714285,0.5,0.2222222222222222,0.8153846153846154,0.7971014492753623,0.6576923076923077,0.18461538461538463,0.5,0.9636363636363636,0.1832659640697464
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,2,Conflict-free,,69,0,0,0,69,,,,1.0,1.0,,0.0,,1.0,
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,2,Estimatable,,69,2,1,26,40,0.6666666666666666,0.07142857142857142,0.12903225806451613,0.975609756097561,0.6086956521739131,0.5235191637630662,0.024390243902439025,0.9285714285714286,0.6060606060606061,0.11326356333726346
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,2,Full sentence,,69,8,1,0,60,0.8888888888888888,1.0,0.9411764705882353,0.9836065573770492,0.9855072463768116,0.9918032786885246,0.01639344262295082,0.0,1.0,0.9350491644243688
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,2,Independent,,69,3,35,0,31,0.07894736842105263,1.0,0.14634146341463414,0.4696969696969697,0.4927536231884058,0.7348484848484849,0.5303030303030303,0.0,1.0,0.19256515705838026
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,2,Minimal,,69,9,1,9,50,0.9,0.5,0.6428571428571429,0.9803921568627451,0.855072463768116,0.7401960784313726,0.0196078431372549,0.5,0.847457627118644,0.5992268198729384
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,2,Problem-oriented,,69,18,1,8,42,0.9473684210526315,0.6923076923076923,0.8,0.9767441860465116,0.8695652173913043,0.8345259391771019,0.023255813953488372,0.3076923076923077,0.84,0.7258032247531331
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,2,Unambiguous,,69,12,2,28,27,0.8571428571428571,0.3,0.4444444444444444,0.9310344827586207,0.5652173913043478,0.6155172413793103,0.06896551724137931,0.7,0.4909090909090909,0.2835701003126249
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,2,Uniform,,69,0,0,0,69,,,,1.0,1.0,,0.0,,1.0,
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,2,Unique,,69,2,0,0,67,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,2,Well-formed,,69,0,0,0,69,,,,1.0,1.0,,0.0,,1.0,
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,3,Atomic,,69,1,2,4,62,0.3333333333333333,0.2,0.25,0.96875,0.9130434782608695,0.584375,0.03125,0.8,0.9393939393939394,0.21452908258025827
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,3,Complete,,69,0,5,0,64,0.0,,0.0,0.927536231884058,0.927536231884058,,0.07246376811594203,,1.0,
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,3,Conceptually sound,,69,1,4,3,61,0.2,0.25,0.2222222222222222,0.9384615384615385,0.8985507246376812,0.5942307692307692,0.06153846153846154,0.75,0.953125,0.16987693509397642
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,3,Conflict-free,,69,0,0,0,69,,,,1.0,1.0,,0.0,,1.0,
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,3,Estimatable,,69,3,1,25,40,0.75,0.10714285714285714,0.1875,0.975609756097561,0.6231884057971014,0.5413763066202091,0.024390243902439025,0.8928571428571429,0.6153846153846154,0.17388654853358268
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,3,Full sentence,,69,7,0,1,61,1.0,0.875,0.9333333333333333,1.0,0.9855072463768116,0.9375,0.0,0.125,0.9838709677419355,0.9278400167993367
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,3,Independent,,69,3,39,0,27,0.07142857142857142,1.0,0.13333333333333333,0.4090909090909091,0.43478260869565216,0.7045454545454546,0.5909090909090909,0.0,1.0,0.1709408646894569
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,3,Minimal,,69,8,2,10,49,0.8,0.4444444444444444,0.5714285714285714,0.9607843137254902,0.8260869565217391,0.7026143790849673,0.0392156862745098,0.5555555555555556,0.8305084745762712,0.5054702426139072
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,3,Problem-oriented,,69,17,1,9,42,0.9444444444444444,0.6538461538461539,0.7727272727272727,0.9767441860465116,0.855072463768116,0.8152951699463327,0.023255813953488372,0.34615384615384615,0.8235294117647058,0.6959000610832055
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,3,Unambiguous,,69,16,1,24,28,0.9411764705882353,0.4,0.5614035087719298,0.9655172413793104,0.6376811594202898,0.6827586206896552,0.034482758620689655,0.6,0.5384615384615384,0.41870748969720856
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,3,Uniform,,69,0,0,0,69,,,,1.0,1.0,,0.0,,1.0,
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,3,Unique,,69,2,2,0,65,0.5,1.0,0.6666666666666666,0.9701492537313433,0.9710144927536232,0.9850746268656716,0.029850746268656716,0.0,1.0,0.6964729907653789
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,3,Well-formed,,69,0,0,0,69,,,,1.0,1.0,,0.0,,1.0,
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,4,Atomic,,69,2,1,3,63,0.6666666666666666,0.4,0.5,0.984375,0.9420289855072463,0.6921875,0.015625,0.6,0.9545454545454546,0.48864957698836603
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,4,Complete,,69,0,4,0,65,0.0,,0.0,0.9420289855072463,0.9420289855072463,,0.057971014492753624,,1.0,
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,4,Conceptually sound,,69,2,2,2,63,0.5,0.5,0.5,0.9692307692307692,0.9420289855072463,0.7346153846153847,0.03076923076923077,0.5,0.9692307692307692,0.46923076923076923
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,4,Conflict-free,,69,0,0,0,69,,,,1.0,1.0,,0.0,,1.0,
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,4,Estimatable,,69,3,1,25,40,0.75,0.10714285714285714,0.1875,0.975609756097561,0.6231884057971014,0.5413763066202091,0.024390243902439025,0.8928571428571429,0.6153846153846154,0.17388654853358268
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,4,Full sentence,,69,6,0,2,61,1.0,0.75,0.8571428571428571,1.0,0.9710144927536232,0.875,0.0,0.25,0.9682539682539683,0.8521681032463467
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,4,Independent,,69,3,41,0,25,0.06818181818181818,1.0,0.1276595744680851,0.3787878787878788,0.4057971014492754,0.6893939393939394,0.6212121212121212,0.0,1.0,0.16070608663330624
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,4,Minimal,,69,9,1,9,50,0.9,0.5,0.6428571428571429,0.9803921568627451,0.855072463768116,0.7401960784313726,0.0196078431372549,0.5,0.847457627118644,0.5992268198729384
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,4,Problem-oriented,,69,20,1,6,42,0.9523809523809523,0.7692307692307693,0.851063829787234,0.9767441860465116,0.8985507246376812,0.8729874776386404,0.023255813953488372,0.23076923076923078,0.875,0.7856242543033247
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,4,Unambiguous,,69,12,1,28,28,0.9230769230769231,0.3,0.4528301886792453,0.9655172413793104,0.5797101449275363,0.6327586206896552,0.034482758620689655,0.7,0.5,0.33516297156253894
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,4,Uniform,,69,0,0,0,69,,,,1.0,1.0,,0.0,,1.0,
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,4,Unique,,69,2,0,0,67,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,4,Well-formed,,69,0,0,0,69,,,,1.0,1.0,,0.0,,1.0,
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,5,Atomic,,69,1,0,4,64,1.0,0.2,0.3333333333333333,1.0,0.9420289855072463,0.6,0.0,0.8,0.9411764705882353,0.4338609156373123
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,5,Complete,,69,0,16,0,53,0.0,,0.0,0.7681159420289855,0.7681159420289855,,0.2318840579710145,,1.0,
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,5,Conceptually sound,,69,2,4,2,61,0.3333333333333333,0.5,0.4,0.9384615384615385,0.9130434782608695,0.7192307692307692,0.06153846153846154,0.5,0.9682539682539683,0.36364052611670256
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,5,Conflict-free,,69,0,0,0,69,,,,1.0,1.0,,0.0,,1.0,
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,5,Estimatable,,69,3,1,25,40,0.75,0.10714285714285714,0.1875,0.975609756097561,0.6231884057971014,0.5413763066202091,0.024390243902439025,0.8928571428571429,0.6153846153846154,0.17388654853358268
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,5,Full sentence,,69,5,0,3,61,1.0,0.625,0.7692307692307693,1.0,0.9565217391304348,0.8125,0.0,0.375,0.953125,0.7718180647017794
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,5,Independent,,69,3,34,0,32,0.08108108108108109,1.0,0.15,0.48484848484848486,0.5072463768115942,0.7424242424242424,0.5151515151515151,0.0,1.0,0.19827263883864388
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,5,Minimal,,69,8,3,10,48,0.7272727272727273,0.4444444444444444,0.5517241379310345,0.9411764705882353,0.8115942028985508,0.6928104575163399,0.058823529411764705,0.5555555555555556,0.8275862068965517,0.46256373604987105
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,5,Problem-oriented,,69,19,1,7,42,0.95,0.7307692307692307,0.8260869565217391,0.9767441860465116,0.8840579710144928,0.8537567084078712,0.023255813953488372,0.2692307692307692,0.8571428571428571,0.7556880313433338
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,5,Unambiguous,,69,11,2,29,27,0.8461538461538461,0.275,0.41509433962264153,0.9310344827586207,0.5507246376811594,0.6030172413793103,0.06896551724137931,0.725,0.48214285714285715,0.2600777604008013
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,5,Uniform,,69,0,0,0,69,,,,1.0,1.0,,0.0,,1.0,
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,5,Unique,,69,2,0,0,67,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
project_criterion,few_shot,DeepSeek-V4-Pro,BADCamp,5,Well-formed,,69,0,0,0,69,,,,1.0,1.0,,0.0,,1.0,
project_criterion,few_shot,DeepSeek-V4-Pro,PlanningPoker,1,Atomic,,53,0,0,0,53,,,,1.0,1.0,,0.0,,1.0,
project_criterion,few_shot,DeepSeek-V4-Pro,PlanningPoker,1,Complete,,53,0,10,1,42,0.0,0.0,0.0,0.8076923076923077,0.7924528301886793,0.40384615384615385,0.19230769230769232,1.0,0.9767441860465116,-0.06687504702153398
project_criterion,few_shot,DeepSeek-V4-Pro,PlanningPoker,1,Conceptually sound,,53,0,3,0,50,0.0,,0.0,0.9433962264150944,0.9433962264150944,,0.05660377358490566,,1.0,
project_criterion,few_shot,DeepSeek-V4-Pro,PlanningPoker,1,Conflict-free,,53,0,4,0,49,0.0,,0.0,0.9245283018867925,0.9245283018867925,,0.07547169811320754,,1.0,
project_criterion,few_shot,DeepSeek-V4-Pro,PlanningPoker,1,Estimatable,,53,6,4,2,41,0.6,0.75,0.6666666666666666,0.9111111111111111,0.8867924528301887,0.8305555555555555,0.08888888888888889,0.25,0.9534883720930233,0.6049109956526652
project_criterion,few_shot,DeepSeek-V4-Pro,PlanningPoker,1,Full sentence,,53,0,2,0,51,0.0,,0.0,0.9622641509433962,0.9622641509433962,,0.03773584905660377,,1.0,
project_criterion,few_shot,DeepSeek-V4-Pro,PlanningPoker,1,Independent,,53,0,33,0,20,0.0,,0.0,0.37735849056603776,0.37735849056603776,,0.6226415094339622,,1.0,
project_criterion,few_shot,DeepSeek-V4-Pro,PlanningPoker,1,Minimal,,53,6,1,8,38,0.8571428571428571,0.42857142857142855,0.5714285714285714,0.9743589743589743,0.8301886792452831,0.7014652014652014,0.02564102564102564,0.5714285714285714,0.8260869565217391,0.5246847283025683
project_criterion,few_shot,DeepSeek-V4-Pro,PlanningPoker,1,Problem-oriented,,53,18,2,6,27,0.9,0.75,0.8181818181818182,0.9310344827586207,0.8490566037735849,0.8405172413793103,0.06896551724137931,0.25,0.8181818181818182,0.6993615538990546
project_criterion,few_shot,DeepSeek-V4-Pro,PlanningPoker,1,Unambiguous,,53,7,3,2,41,0.7,0.7777777777777778,0.7368421052631579,0.9318181818181818,0.9056603773584906,0.8547979797979798,0.06818181818181818,0.2222222222222222,0.9534883720930233,0.6809645427481157
project_criterion,few_shot,DeepSeek-V4-Pro,PlanningPoker,1,Uniform,,53,0,0,0,53,,,,1.0,1.0,,0.0,,1.0,
project_criterion,few_shot,DeepSeek-V4-Pro,PlanningPoker,1,Unique,,53,2,0,0,51,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
project_criterion,few_shot,DeepSeek-V4-Pro,PlanningPoker,1,Well-formed,,53,0,1,0,52,0.0,,0.0,0.9811320754716981,0.9811320754716981,,0.018867924528301886,,1.0,
project_criterion,few_shot,DeepSeek-V4-Pro,PlanningPoker,2,Atomic,,53,0,0,0,53,,,,1.0,1.0,,0.0,,1.0,
project_criterion,few_shot,DeepSeek-V4-Pro,PlanningPoker,2,Complete,,53,0,14,1,38,0.0,0.0,0.0,0.7307692307692307,0.7169811320754716,0.36538461538461536,0.2692307692307692,1.0,0.9743589743589743,-0.08308641921035718
project_criterion,few_shot,DeepSeek-V4-Pro,PlanningPoker,2,Conceptually sound,,53,0,1,0,52,0.0,,0.0,0.9811320754716981,0.9811320754716981,,0.018867924528301886,,1.0,
