prompt_profile,prompt_label,shots,model,provider,project,run,story_id,criterion,decision,evidence,rationale,related_story_ids,confidence,ground_truth,dimension,error_type
few_shot,Few-shot,4,DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-015,Atomic,No Violation,dedicated page for each class to learn more about the offering,The listed information and URL details are attributes of one class page.,[],High,Violation,Syntactic,FN
few_shot,Few-shot,4,DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-016,Atomic,No Violation,training options clearly marked for the following information,The listed items are attributes of one training-options view.,[],High,Violation,Syntactic,FN
few_shot,Few-shot,4,DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-017,Atomic,No Violation,training landing page with an intro section and a list of all training offerings,The requested sections and promotion are content elements of one landing page.,[],Moderate,Violation,Syntactic,FN
few_shot,Few-shot,4,DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-024,Atomic,Violation,create and maintain venues,Creating venues and maintaining them are independently implementable admin features.,[],High,No Violation,Syntactic,FP
few_shot,Few-shot,4,DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-005,Complete,Violation,edit my training node,"The backlog contains edit behavior for training nodes but no complementary story that creates a training/class offering, leaving the training content workflow incomplete.",[],Moderate,No Violation,Pragmatic,FP
few_shot,Few-shot,4,DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-006,Complete,Violation,limit to one registration per day,"The backlog references training registration limits, status views, waitlists, and signed-up trainings, but lacks the complementary story that lets a trainee register for a training.","[""BC-012""]",High,No Violation,Pragmatic,FP
few_shot,Few-shot,4,DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-010,Complete,Violation,registration / cancellation workflow,"The backlog references cancellation terms and a cancellation deadline but lacks a concrete story for cancelling a training registration, so the cancellation workflow is incomplete.","[""BC-009""]",High,No Violation,Pragmatic,FP
few_shot,Few-shot,4,DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-012,Complete,Violation,which trainings I have signed up for,"A trainee can see their signed-up trainings, but the backlog lacks the complementary creation story that registers a trainee for a training.","[""BC-006""]",High,No Violation,Pragmatic,FP
few_shot,Few-shot,4,DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-007,Conceptually sound,No Violation,"admin view that helps track registration status; see if attendend, refunded, no show",The means is a feature and the ends explains its value.,[],High,Violation,Semantic,FN
few_shot,Few-shot,4,DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-015,Conceptually sound,No Violation,dedicated page for each class; choose the right class,The means states a feature and the ends explains a user value.,[],High,Violation,Semantic,FN
few_shot,Few-shot,4,DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-017,Conceptually sound,No Violation,training landing page; shop for training all with one page,The means states a feature and the ends explains its value.,[],High,Violation,Semantic,FN
few_shot,Few-shot,4,DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-062,Conceptually sound,Violation,so that I submit a session,"The ends introduces another required feature, session submission, instead of explaining the value of registering to speak.",[],High,No Violation,Semantic,FP
few_shot,Few-shot,4,DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-003,Estimatable,No Violation,email all the trainers at once from the website,The behavior is specific enough for a reasonable implementation estimate.,[],High,Violation,Pragmatic,FN
few_shot,Few-shot,4,DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-004,Estimatable,No Violation,have a very clear map where the buildings and rooms are,A map showing building and room locations is concrete enough to estimate.,[],Moderate,Violation,Pragmatic,FN
few_shot,Few-shot,4,DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-005,Estimatable,No Violation,edit my training node myself,Self-service editing of a training node is sufficiently scoped.,[],High,Violation,Pragmatic,FN
few_shot,Few-shot,4,DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-007,Estimatable,No Violation,have an admin view that helps track registration status for each attendee,The requested statuses are enumerated and the admin view is scoped.,[],High,Violation,Pragmatic,FN
few_shot,Few-shot,4,DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-008,Estimatable,No Violation,be added to a training waitlist,Waitlist behavior is specific enough to estimate.,[],High,Violation,Pragmatic,FN
few_shot,Few-shot,4,DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-009,Estimatable,No Violation,must accept the cancellation terms with a checkbox,A checkbox acceptance rule is concrete and estimable.,[],High,Violation,Pragmatic,FN
few_shot,Few-shot,4,DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-013,Estimatable,No Violation,have a view that is attached to their training node that shows all attendee information,An attendee roster on a training node is sufficiently scoped for estimation.,[],Moderate,Violation,Pragmatic,FN
few_shot,Few-shot,4,DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-014,Estimatable,No Violation,have an admin view where all trainee information is shown and can be filtered to show a single training session,The admin filter behavior is specific enough to estimate.,[],High,Violation,Pragmatic,FN
few_shot,Few-shot,4,DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-015,Estimatable,No Violation,dedicated page for each class to learn more about the offering,The story enumerates required information and is detailed enough to estimate.,[],High,Violation,Pragmatic,FN
few_shot,Few-shot,4,DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-016,Estimatable,No Violation,have the training options clearly marked for the following information,"The required fields are listed, making the scope estimable.",[],High,Violation,Pragmatic,FN
