prompt_profile,model,project,criterion,story_id,violation_frequency,flip
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-001,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-002,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-003,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-004,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-005,0.4,1
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-006,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-007,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-008,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-009,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-010,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-011,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-012,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-013,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-014,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-015,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-016,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-017,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-018,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-019,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-020,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-021,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-022,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-023,0.6,1
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-024,0.6,1
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-025,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-026,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-027,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-028,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-029,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-030,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-031,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-032,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-033,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-034,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-035,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-036,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-037,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-038,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-039,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-040,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-041,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-042,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-043,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-044,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-045,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-046,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-047,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-048,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-049,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-050,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-051,1.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-052,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-053,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-054,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-055,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-056,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-057,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-058,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-059,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-060,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-061,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-062,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-063,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-064,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-065,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-066,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-067,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-068,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,BC-069,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Complete,BC-001,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Complete,BC-002,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Complete,BC-003,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Complete,BC-004,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Complete,BC-005,1.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Complete,BC-006,0.8,1
few_shot,DeepSeek-V4-Pro,BADCamp,Complete,BC-007,0.6,1
few_shot,DeepSeek-V4-Pro,BADCamp,Complete,BC-008,0.2,1
few_shot,DeepSeek-V4-Pro,BADCamp,Complete,BC-009,0.4,1
few_shot,DeepSeek-V4-Pro,BADCamp,Complete,BC-010,0.8,1
few_shot,DeepSeek-V4-Pro,BADCamp,Complete,BC-011,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Complete,BC-012,1.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Complete,BC-013,0.4,1
few_shot,DeepSeek-V4-Pro,BADCamp,Complete,BC-014,0.2,1
few_shot,DeepSeek-V4-Pro,BADCamp,Complete,BC-015,0.4,1
few_shot,DeepSeek-V4-Pro,BADCamp,Complete,BC-016,0.4,1
few_shot,DeepSeek-V4-Pro,BADCamp,Complete,BC-017,0.4,1
few_shot,DeepSeek-V4-Pro,BADCamp,Complete,BC-018,0.2,1
few_shot,DeepSeek-V4-Pro,BADCamp,Complete,BC-019,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Complete,BC-020,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Complete,BC-021,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Complete,BC-022,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Complete,BC-023,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Complete,BC-024,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Complete,BC-025,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Complete,BC-026,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Complete,BC-027,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Complete,BC-028,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Complete,BC-029,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Complete,BC-030,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Complete,BC-031,0.0,0
few_shot,DeepSeek-V4-Pro,BADCamp,Complete,BC-032,0.0,0
