model,criterion,n,TP,FP,FN,TN,precision,recall,F1,specificity,accuracy,balanced_accuracy,FPR,FNR,NPV,MCC
DeepSeek-V4-Pro,Atomic,162,4,1,1,156,0.8,0.8,0.8000000000000002,0.9936305732484076,0.9876543209876543,0.8968152866242038,0.006369426751592357,0.2,0.9936305732484076,0.7936305732484077
DeepSeek-V4-Pro,Complete,178,0,52,0,126,0.0,,,0.7078651685393258,0.7078651685393258,,0.29213483146067415,,1.0,
DeepSeek-V4-Pro,Conceptually sound,176,1,62,0,113,0.015873015873015872,1.0,0.03125,0.6457142857142857,0.6477272727272727,0.8228571428571428,0.35428571428571426,0.0,1.0,0.10123948393080619
DeepSeek-V4-Pro,Conflict-free,180,0,4,0,176,0.0,,,0.9777777777777777,0.9777777777777777,,0.022222222222222223,,1.0,
DeepSeek-V4-Pro,Estimatable,129,15,15,22,77,0.5,0.40540540540540543,0.4477611940298507,0.8369565217391305,0.7131782945736435,0.6211809635722679,0.16304347826086957,0.5945945945945946,0.7777777777777778,0.25946629364938495
DeepSeek-V4-Pro,Full sentence,177,6,0,2,169,1.0,0.75,0.8571428571428571,1.0,0.9887005649717514,0.875,0.0,0.25,0.9883040935672515,0.8609460320922785
DeepSeek-V4-Pro,Independent,156,3,59,0,94,0.04838709677419355,1.0,0.09230769230769231,0.6143790849673203,0.6217948717948718,0.8071895424836601,0.38562091503267976,0.0,1.0,0.17241815519357062
DeepSeek-V4-Pro,Minimal,133,5,1,15,112,0.8333333333333334,0.25,0.3846153846153846,0.9911504424778761,0.8796992481203008,0.620575221238938,0.008849557522123894,0.75,0.8818897637795275,0.41530274058710875
DeepSeek-V4-Pro,Problem-oriented,140,46,3,37,54,0.9387755102040817,0.5542168674698795,0.6969696969696971,0.9473684210526315,0.7142857142857143,0.7507926442612556,0.05263157894736842,0.4457831325301205,0.5934065934065934,0.5166572500082403
DeepSeek-V4-Pro,Unambiguous,144,29,21,21,73,0.58,0.58,0.58,0.776595744680851,0.7083333333333334,0.6782978723404255,0.22340425531914893,0.42,0.776595744680851,0.3565957446808511
DeepSeek-V4-Pro,Uniform,182,0,0,3,179,,0.0,,1.0,0.9835164835164835,0.5,0.0,1.0,0.9835164835164835,
DeepSeek-V4-Pro,Unique,176,4,6,0,166,0.4,1.0,0.5714285714285715,0.9651162790697675,0.9659090909090909,0.9825581395348837,0.03488372093023256,0.0,1.0,0.6213264131098138
DeepSeek-V4-Pro,Well-formed,182,0,1,0,181,0.0,,,0.9945054945054945,0.9945054945054945,,0.005494505494505495,,1.0,
GPT-4.1,Atomic,162,5,14,0,143,0.2631578947368421,1.0,0.4166666666666667,0.910828025477707,0.9135802469135802,0.9554140127388535,0.08917197452229299,0.0,1.0,0.48958307328994555
