model,provider,project,run,story_id,criterion,decision,evidence,rationale,related_story_ids,confidence,ground_truth,error_type
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-005,Atomic,Violation,edit my training node myself... and links to slides,Combines editing the training node and managing links to slides as separate capabilities.,[],Moderate,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-017,Atomic,No Violation,training landing page with an intro section and a list,Expresses a single landing page feature; sections are attributes of the page.,[],Moderate,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-005,Complete,Violation,edit my training node myself,"The story assumes training nodes already exist, but no story establishes creation of training nodes.",[],High,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-010,Complete,Violation,cancellation deadline to whatever registration / cancellation workflow exists,"The story relies on a registration/cancellation workflow, but no story establishes attendee cancellation of a training registration.",[],High,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-012,Complete,Violation,see which trainings I have signed up for,"Read behavior for training registrations is present, but no story creates a training registration or sign-up capability.",[],High,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-011,Conceptually sound,Violation,so that they can schedule their event experience,The end restates the scheduling feature instead of explaining why adding to the schedule is valuable.,[],Moderate,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-027,Conceptually sound,Violation,so that pay for my sponsorship,The end repeats the payment purpose already expressed in the means rather than giving a distinct rationale for the payment page.,[],Moderate,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-030,Conceptually sound,Violation,so that I can pay for an individual sponsorship,The end restates the payment action described in the means instead of explaining why the payment is valuable.,[],High,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-062,Conceptually sound,Violation,so that I submit a session,The end restates the registration/submission feature rather than explaining why registering to speak is valuable.,[],High,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-059,Conflict-free,Violation,"As a anonymoususer, I want to receive a notification when sessions have been evaluated, so that I know whether I've been accepted or rejected.","This implies anonymous users can be session submitters, which conflicts with BC-063 where session submission is for authenticated users.","[""BC-063""]",Moderate,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-060,Conflict-free,Violation,"As a anonymoususer, I want to receive a notification when I submit a session","This assumes anonymous users can submit sessions, conflicting with BC-063 where session submission is for authenticated users.","[""BC-063""]",High,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-062,Conflict-free,Violation,"As a anonymoususer, I want to register to speak at BADCamp, so that I submit a session.","This grants anonymous session submission, conflicting with BC-063 where session submission is for authenticated users.","[""BC-063""]",High,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-063,Conflict-free,Violation,"As a authenticateduser, I want to submit a session at BADCAMP","This defines session submission for authenticated users, conflicting with stories BC-059, BC-060, and BC-062 that imply anonymous session submission.","[""BC-059"", ""BC-060"", ""BC-062""]",High,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-003,Estimatable,No Violation,email all the trainers at once from the website,Clear email-blast behavior from the website.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-004,Estimatable,No Violation,very clear map where the buildings and rooms are,Map of buildings and rooms is concrete enough to estimate.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-005,Estimatable,No Violation,edit my training node myself,Editing one's own training node is a clear CRUD action.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-007,Estimatable,No Violation,admin view that helps track registration status for each attendee,Admin view with enumerated statuses is estimatable.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-008,Estimatable,No Violation,added to a training waitlist,Clear waitlist behavior.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-013,Estimatable,No Violation,view that is attached to their training node that shows all attendee information,A discrete attendee information view can be reasonably estimated even if broad.,[],Moderate,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-014,Estimatable,No Violation,admin view where all trainee information is shown and can be filtered,Clear filtered admin roster.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-015,Estimatable,No Violation,"Logo, title, trainers, location, possibly a map view, datetime, skill level, registrations remaining, link to register",Detailed required fields make scope clear.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-016,Estimatable,No Violation,"day and time of training, title, short summary, trainers, level, number of registrations, remaining registrations, location of training, link to full details, register now link",Detailed required fields make scope clear.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-017,Estimatable,No Violation,training landing page with an intro section and a list of all training offerings,Landing page scope is clear enough to estimate.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-019,Estimatable,No Violation,find out where the coding lounge is and what time it is open,Clear location and hours requirement.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-021,Estimatable,No Violation,find a link on the sponsorships page to become a $350 level sponsor,Clear link and payment path.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-027,Estimatable,No Violation,See a payment page to pay for my individual sponsorships as the third step of the registration process,Clear payment step in registration.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-031,Estimatable,Violation,link BADCamp attendees to my sponsorship page,"The linking behavior is underspecified and could be manual association, displayed roster, or automatic matching.",[],Moderate,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-042,Estimatable,No Violation,list basic information about my summit,Clear informational list.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-046,Estimatable,No Violation,see specific details on summits,Summit detail page is standard and can be reasonably estimated.,[],Moderate,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-051,Estimatable,No Violation,learn about posting jobs as a sponsor and contact the sponsorship person,Clear informational and contact scope.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-059,Estimatable,No Violation,receive a notification when sessions have been evaluated,Clear notification trigger.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-060,Estimatable,No Violation,receive a notification when I submit a session,Clear notification trigger.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-062,Estimatable,No Violation,register to speak at BADCamp,Clear registration/submission action.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-065,Estimatable,No Violation,see a list of all the summits that include when they are,Clear list with time information.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-066,Estimatable,No Violation,Be offered several choices of individual sponsorship on the second page of registration,Clear selection step in registration.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-067,Estimatable,No Violation,easily find a link in the menu that links to the registration form,Clear menu link requirement.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-010,Full sentence,No Violation,so that so we don't loose money or spots,"The extra 'so' is a minor connective error, but the clause still has a complete subject and predicate, so the sentence remains complete.",[],Moderate,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-015,Full sentence,No Violation,,Contains multiple complete sentences and a list; no fragment or incomplete sentence at the whole-text level.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-001,Independent,Violation,view a list of sponsors,Viewing sponsors depends on sponsors being created/registered through sponsorship stories.,"[""BC-021"", ""BC-023""]",Moderate,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-002,Independent,Violation,view a list of user profiles,Viewing user profiles depends on users registering and profiles being created.,"[""BC-068""]",Moderate,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-004,Independent,Violation,map where the buildings and rooms are,The map depends on venue and room data being created and maintained.,"[""BC-024""]",High,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-018,Independent,Violation,link on the home page to a list of training options,The link target depends on a training-options list page being available.,"[""BC-016"", ""BC-017""]",High,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-020,Independent,Violation,refund sponsorship money that was processed via stripe,Refunds depend on prior sponsorship payment processing.,"[""BC-023"", ""BC-030""]",Moderate,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-021,Independent,Violation,link on the sponsorships page to become a $350 level sponsor,The link depends on a sponsorships page existing.,"[""BC-048""]",Moderate,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-022,Independent,Violation,See a list of attendees associated with this company,Requires attendee-sponsor links to be made elsewhere.,"[""BC-031""]",Moderate,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-025,Independent,Violation,view venue details,Viewing venue details depends on venues being created.,"[""BC-024""]",High,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-026,Independent,Violation,sessions associated with sponsor attendees,Depends on sponsor-session assignments and attendee-sponsor links.,"[""BC-028"", ""BC-031""]",Moderate,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-029,Independent,Violation,"see all events, trainings and summits that a sponsor is sponsoring",Viewing sponsor assignments depends on assignments being made.,"[""BC-028""]",High,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-032,Independent,Violation,update my user profile,Updating a profile depends on a user profile existing from registration.,"[""BC-068""]",Moderate,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-034,Independent,Violation,tag my blog posts,Tagging blog posts depends on blog posts being created.,"[""BC-035""]",High,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-036,Independent,Violation,read the blog,Reading the blog depends on blog posts being created.,"[""BC-035""]",High,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-039,Independent,Violation,get detailed directions to the summit venue,Directions depend on venue location data.,"[""BC-024""]",High,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-043,Independent,Violation,list sponsors for my summit,Listing summit sponsors depends on sponsor-summit relationships.,"[""BC-037"", ""BC-028""]",Moderate,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-045,Independent,Violation,see how many seats are left for the summit,Remaining seats depend on summit registration counts.,"[""BC-038""]",High,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-046,Independent,Violation,register for the event,"The summit detail page includes registration, which depends on summit registration and summit info.","[""BC-038"", ""BC-042""]",Moderate,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-047,Independent,Violation,see a list of all the summits,The summit list depends on summit information being available.,"[""BC-042""]",Moderate,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-050,Independent,Violation,Link to my sponsorship profile from my job listings,Depends on both job listings and a sponsorship profile existing.,"[""BC-052"", ""BC-064""]",High,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-053,Independent,Violation,view the job board,The job board depends on jobs being posted.,"[""BC-052""]",High,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-055,Independent,Violation,see the schedule,Viewing the schedule depends on schedule population.,"[""BC-054""]",High,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-056,Independent,Violation,see the final list of sessions approved,Approved session list depends on session approval.,"[""BC-057"", ""BC-058""]",High,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-057,Independent,Violation,bulk approve sessions as accepted,Approval depends on sessions being submitted.,"[""BC-063""]",High,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-061,Independent,Violation,edit my session,Editing depends on session submission capability.,"[""BC-063""]",High,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-063,Independent,Violation,submit a session at BADCAMP,Session submission depends on speaker registration being implemented first.,"[""BC-062""]",Moderate,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-065,Independent,Violation,see a list of all the summits that include when they are,Summit list depends on summit information being available.,"[""BC-042""]",Moderate,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-067,Independent,Violation,link in the menu that links to the registration form,The menu link depends on the registration form existing.,"[""BC-068""]",High,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-069,Independent,Violation,find session information,Session information depends on approved sessions and/or schedule data.,"[""BC-055"", ""BC-056""]",Moderate,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-007,Minimal,No Violation,,"Despite duplicated wording, no extra information beyond role, means, and ends is present.",[],Moderate,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-017,Minimal,No Violation,,"The story contains only role, means, and ends/rationale.",[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-005,Problem-oriented,Violation,edit my training node myself ... and links to slides,Prescribes Drupal node editing and slide links rather than only the need for trainers to maintain their content.,[],High,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-007,Problem-oriented,No Violation,,States an administrative need to track registration status without prescribing specific UI widgets or mechanisms.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-010,Problem-oriented,No Violation,,States a need to tie cancellation deadlines into the workflow without prescribing implementation.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-014,Problem-oriented,No Violation,,States an administrative need to view and filter attendee information without prescribing concrete widgets or technical mechanisms.,[],Moderate,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-039,Problem-oriented,No Violation,,States an information need for directions without prescribing implementation.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-054,Problem-oriented,No Violation,,States a scheduling need without prescribing implementation.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-057,Problem-oriented,No Violation,,States a need to bulk approve sessions without prescribing implementation.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-003,Unambiguous,No Violation,,Emailing all trainers at once from the website is clearly understandable.,[],High,Violation,FN
