model,project,criterion,dimension,prompt_profile,metric_mean,metric_sd,valid_runs,gt_positive
DeepSeek-V4-Pro,BADCamp,Atomic,syntactic,few_shot,0.4166666666666667,0.11785113019775792,5,5
DeepSeek-V4-Pro,BADCamp,Atomic,syntactic,one_shot,0.5622222222222222,0.08874989132318158,5,5
DeepSeek-V4-Pro,BADCamp,Atomic,syntactic,zero_shot,0.3071428571428571,0.10891393344269218,5,5
DeepSeek-V4-Pro,BADCamp,Conceptually sound,semantic,few_shot,0.3355555555555555,0.11925695879998881,5,4
DeepSeek-V4-Pro,BADCamp,Conceptually sound,semantic,one_shot,0.37,0.17013066873566463,5,4
DeepSeek-V4-Pro,BADCamp,Conceptually sound,semantic,zero_shot,0.2911111111111111,0.0737655612375542,5,4
DeepSeek-V4-Pro,BADCamp,Estimatable,pragmatic,few_shot,0.185365275142315,0.037682785451732294,5,28
DeepSeek-V4-Pro,BADCamp,Estimatable,pragmatic,one_shot,0.21556531703590526,0.04478921900482892,5,28
DeepSeek-V4-Pro,BADCamp,Estimatable,pragmatic,zero_shot,0.10371245828698553,0.0573449108967396,5,28
DeepSeek-V4-Pro,BADCamp,Full sentence,pragmatic,few_shot,0.8884119801766859,0.07544539410070865,5,8
DeepSeek-V4-Pro,BADCamp,Full sentence,pragmatic,one_shot,0.9275816993464051,0.021982560010016076,5,8
DeepSeek-V4-Pro,BADCamp,Full sentence,pragmatic,zero_shot,0.9202614379084967,0.02863908797412627,5,8
DeepSeek-V4-Pro,BADCamp,Independent,pragmatic,few_shot,0.13755383076494962,0.009981474954919016,5,3
DeepSeek-V4-Pro,BADCamp,Independent,pragmatic,one_shot,0.139391272590184,0.018760658548207642,5,3
DeepSeek-V4-Pro,BADCamp,Independent,pragmatic,zero_shot,0.17462543554006965,0.03756736473816173,5,3
DeepSeek-V4-Pro,BADCamp,Minimal,syntactic,few_shot,0.5960591133004927,0.04347133644020395,5,18
DeepSeek-V4-Pro,BADCamp,Minimal,syntactic,one_shot,0.5465494505494506,0.0398470690814559,5,18
DeepSeek-V4-Pro,BADCamp,Minimal,syntactic,zero_shot,0.5800939749905267,0.0486248698293463,5,18
DeepSeek-V4-Pro,BADCamp,Problem-oriented,semantic,few_shot,0.8201883777646961,0.03391720579104556,5,26
DeepSeek-V4-Pro,BADCamp,Problem-oriented,semantic,one_shot,0.8021580747343929,0.066787991404847,5,26
DeepSeek-V4-Pro,BADCamp,Problem-oriented,semantic,zero_shot,0.7905241935483871,0.08097337445066223,5,26
DeepSeek-V4-Pro,BADCamp,Unambiguous,semantic,few_shot,0.47657267812183396,0.05837212623102961,5,40
DeepSeek-V4-Pro,BADCamp,Unambiguous,semantic,one_shot,0.4786205757903871,0.0432296128188729,5,40
DeepSeek-V4-Pro,BADCamp,Unambiguous,semantic,zero_shot,0.486861063464837,0.024289521335098024,5,40
DeepSeek-V4-Pro,BADCamp,Unique,pragmatic,few_shot,0.8,0.2981423969999719,5,2
DeepSeek-V4-Pro,BADCamp,Unique,pragmatic,one_shot,1.0,0.0,5,2
DeepSeek-V4-Pro,BADCamp,Unique,pragmatic,zero_shot,0.6799999999999999,0.21291625896895083,5,2
DeepSeek-V4-Pro,PlanningPoker,Complete,pragmatic,few_shot,0.0,0.0,5,1
DeepSeek-V4-Pro,PlanningPoker,Complete,pragmatic,one_shot,0.0,0.0,5,1
DeepSeek-V4-Pro,PlanningPoker,Complete,pragmatic,zero_shot,0.0,0.0,5,1
DeepSeek-V4-Pro,PlanningPoker,Estimatable,pragmatic,few_shot,0.6661764705882354,0.028604106786068957,5,8
DeepSeek-V4-Pro,PlanningPoker,Estimatable,pragmatic,one_shot,0.7273529411764705,0.07408320861914636,5,8
DeepSeek-V4-Pro,PlanningPoker,Estimatable,pragmatic,zero_shot,0.7392717086834735,0.08549761156717946,5,8
DeepSeek-V4-Pro,PlanningPoker,Minimal,syntactic,few_shot,0.5511192511192511,0.060187296699284874,5,14
DeepSeek-V4-Pro,PlanningPoker,Minimal,syntactic,one_shot,0.1,0.22360679774997896,5,14
DeepSeek-V4-Pro,PlanningPoker,Minimal,syntactic,zero_shot,0.2,0.32596012026013244,5,14
DeepSeek-V4-Pro,PlanningPoker,Problem-oriented,semantic,few_shot,0.8487883393202542,0.03899846483967968,5,24
DeepSeek-V4-Pro,PlanningPoker,Problem-oriented,semantic,one_shot,0.8651920620236992,0.03368767019310426,5,24
DeepSeek-V4-Pro,PlanningPoker,Problem-oriented,semantic,zero_shot,0.8192613917502587,0.02139379261706137,5,24
DeepSeek-V4-Pro,PlanningPoker,Unambiguous,semantic,few_shot,0.7095906432748538,0.047877561201375235,5,9
DeepSeek-V4-Pro,PlanningPoker,Unambiguous,semantic,one_shot,0.654997341839447,0.0993194043272495,5,9
DeepSeek-V4-Pro,PlanningPoker,Unambiguous,semantic,zero_shot,0.6348917748917748,0.051224762686497644,5,9
DeepSeek-V4-Pro,PlanningPoker,Unique,pragmatic,few_shot,0.76,0.1460593486680443,5,2
DeepSeek-V4-Pro,PlanningPoker,Unique,pragmatic,one_shot,0.7866666666666667,0.13662601021279464,5,2
DeepSeek-V4-Pro,PlanningPoker,Unique,pragmatic,zero_shot,0.7276190476190476,0.10467528886883119,5,2
DeepSeek-V4-Pro,Zooniverse,Atomic,syntactic,few_shot,0.8983957219251335,0.09566066213902837,5,9
DeepSeek-V4-Pro,Zooniverse,Atomic,syntactic,one_shot,0.924705882352941,0.07422028374394118,5,9
DeepSeek-V4-Pro,Zooniverse,Atomic,syntactic,zero_shot,0.8597058823529411,0.14798093256019187,5,9
DeepSeek-V4-Pro,Zooniverse,Estimatable,pragmatic,few_shot,0.5909549018497315,0.03518562402055141,5,23
DeepSeek-V4-Pro,Zooniverse,Estimatable,pragmatic,one_shot,0.5510059689028391,0.13606829203113435,5,23
DeepSeek-V4-Pro,Zooniverse,Estimatable,pragmatic,zero_shot,0.4486147186147186,0.15645859513711294,5,23
DeepSeek-V4-Pro,Zooniverse,Full sentence,pragmatic,few_shot,0.0,0.0,5,1
DeepSeek-V4-Pro,Zooniverse,Full sentence,pragmatic,one_shot,0.0,0.0,5,1
DeepSeek-V4-Pro,Zooniverse,Full sentence,pragmatic,zero_shot,0.6666666666666666,0.40824829046386296,5,1
DeepSeek-V4-Pro,Zooniverse,Minimal,syntactic,few_shot,0.33261632341723874,0.25612760505983834,5,12
